id,image_code,filename,photo_g,photo_unit,photo_src,from_human,has_reading,evidence_is_label,ml_rule_applied,pkg_text,pkg_qty,pkg_unit,has_pkg_qty,mL_rule_pending,pkg_seen,raw_tick,raw_weight,corrected_weight,pub_unit,pub_rule,pull_item,harmonized_nsu_unit,pull_province,pull_municipal_city,market_name,store_stall_name,vendor_id,v_hum,raw_hum,reading_source,h_glare_flag,h_notes,v_hir,v_son,v_swp,v_sc1,v_rsc,v_hai,g_hum,g_hir,g_son,g_swp,g_sc1,g_rsc,g_hai,type_son,type_hir,type_swp,type_sc1,type_rsc,type_hai,leg_son,leg_hir,leg_swp,leg_sc1,leg_rsc,leg_hai,pkg_son,pkg_hir,pkg_swp,pkg_sc1,pkg_rsc,pkg_hai,item_nsu_hetero_type
15,1778292547469,1778292547469.jpg,230,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.23,230,g,log10 median,carrot,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Arnel Store,2ZFVEU39,,,,,,,,.23,,,,,,,230,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
16,1778292568459,1778292568459.jpg,630,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.63,630,g,log10 median,carrot,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Arnel Store,2ZFVEU39,,,,,,,,.63,,,,,,,630,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,large_size
17,1778295212989,1778295212989.jpg,125,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.125,125,g,log10 median,carrot,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Anadhel Vegetable Stall,VA7YBFU9,,,,,,,,.125,,,,,,,125,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
18,1778297854249,1778297854249.jpg,390,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.38999999,390,g,log10 median,chicken,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Jindel Delantar Chicken Stall,7SKCJL2Y,,,,,,,,.39,,,,,,,390,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
19,1778297424496,1778297424496.jpg,500,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.5,500,g,log10 median,chicken,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Jonard Processed Meat Stand,VN693IUL,,,,,,,,.5,,,,,,,500,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
35,1778297064811,1778297064811.jpg,95,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.094999999,95,g,log10 median,fresh fish,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Efren Fish Stand,50AQAGHS,,,,,,,,.095,,,,,,,95,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
36,1778298930683,1778298930683.jpg,240,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.23999999,240,g,log10 median,fresh fish,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Mercedes Fish Stall,LR8M2IQQ,,,,,,,,.24,,,,,,,240,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
37,1778296827222,1778296827222.jpg,95,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.094999999,95,g,log10 median,fresh fish,pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Maribeth Fish Stand,Y5WFBW91,,,,,,,,.095,,,,,,,95,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
40,1778471382101,1778471382101.jpg,375,mL,package label (mL),0,1,1,1,375 mL,375,mL,1,0,1,grams (g),375,375,mL,log10 median,"liquor (e.g, whisky, coconut wine)",lipid/lapad,AKLAN,ALTAVAS,Poblacion Altavas Talipapa,Murayan Corner,6VIPFDEN,,,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,,not_visible,,,,,,375 mL,,,,medium_size
41,1778469570765,1778469570765.jpg,375,mL,package label (mL),0,1,1,1,375 mL,375,mL,1,0,1,grams (g),375,375,mL,log10 median,"liquor (e.g, whisky, coconut wine)",lipid/lapad,AKLAN,ALTAVAS,Gen.St.Poblacion Altavas Roadside,Czen Gaming and Cafe,VT42IAOO,,,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,,not_visible,,,,,,375 mL,,,,medium_size
42,1778472655168,1778472655168.jpg,375,mL,package label (mL),0,1,1,1,375 mL,375,mL,1,0,1,grams (g),375,375,mL,log10 median,"liquor (e.g, whisky, coconut wine)",lipid/lapad,AKLAN,ALTAVAS,Altavas Public Market,MJ Store,XD7YOLJL,,,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,,not_visible,,,,,,375 mL,,,,medium_size
43,1778468487334,1778468487334.jpg,1000,mL,package label (mL),0,1,1,1,1 Liter,1000,mL,1,0,1,Litres (L),1,1000,mL,log10 median,"liquor (e.g, whisky, coconut wine)",long-neck,AKLAN,ALTAVAS,Gen.Luna St.Poblacion Altavas Roadside,Altavas Sari Sari Store,7SAKMTHU,,,,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,,not_visible,,,,,,1 Liter,,,municipality_median
44,1778470575472,1778470575472.jpg,750,mL,package label (mL),0,1,1,1,750 mL,750,mL,1,0,1,grams (g),750,750,mL,log10 median,"liquor (e.g, whisky, coconut wine)",long-neck,AKLAN,ALTAVAS,Poblacion Altavas Roadside,Gonzales Store,DOBJS7LZ,,,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,,not_visible,,,,,,750 mL,,,,municipality_median
45,1778471435461,1778471435461.jpg,750,mL,package label (mL),0,1,1,1,750 mL,750,mL,1,0,1,grams (g),750,750,mL,log10 median,"liquor (e.g, whisky, coconut wine)",long-neck,AKLAN,ALTAVAS,Poblacion Altavas Talipapa,Murayan Corner,G3JEYN17,,,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,,not_visible,,,,,,750 mL,,,,municipality_median
46,1778472603675,1778472603675.jpg,750,mL,package label (mL),0,1,1,1,750 mL,750,mL,1,0,1,grams (g),750,750,mL,log10 median,"liquor (e.g, whisky, coconut wine)",long-neck,AKLAN,ALTAVAS,Altavas Public Market,MJ Store,GHU5XB4P,,,,,,,,,,,,,,,,,,,,,label_closeup,,,,,,not_visible,,,,,,750 mL,,,,municipality_median
47,1778472819537,1778472819537.jpg,640,g,package label (g),0,1,1,0,Net Wt. 640 g,640,g,1,0,1,grams (g),640,640,g,log10 median,loaf bread,large packs,AKLAN,ALTAVAS,Altavas Public Market,MJ Store,6FFCCIM3,,,,,,,,,,,,,,,,,,,,,,label_closeup,,,,,,not_visible,,,,,,Net Wt. 640 g,,,large_size
48,1778468603208,1778468603208.jpg,640,g,package label (g),0,1,1,0,Net Wt. 640 g,640,g,1,0,1,grams (g),640,640,g,log10 median,loaf bread,large packs,AKLAN,ALTAVAS,Poblacion Altavas Roadside,Altavas Sari Sari Store,LEZTKK62,,,,,,,,,,,,,,,,,,,,,,label_closeup,,,,,,not_visible,,,,,,Net Wt. 640 g,,,large_size
49,1778471970936,1778471970936.jpg,640,g,package label (g),0,1,1,0,Net Wt. 640 g,640,g,1,0,1,grams (g),640,640,g,log10 median,loaf bread,large packs,AKLAN,ALTAVAS,Poblacion Altavas Talipapa,Murayan Corner,ME7SHSCX,,,,,,,,,,,,,,,,,,,,,,label_closeup,,,,,,not_visible,,,,,,Net Wt. 640 g,,,large_size
50,1778473689491,1778473689491.jpg,640,g,package label (g),0,1,1,0,Net Wt. 640 g,640,g,1,0,1,grams (g),640,640,g,log10 median,loaf bread,large packs,AKLAN,ALTAVAS,Altavas Public Market,NG's Variety Store,P5VNXJGM,,,,,,,,,,,,,,,,,,,,,,label_closeup,,,,,,not_visible,,,,,,Net Wt. 640 g,,,large_size
54,1778468656686,1778468656686.jpg,450,g,package label (g),0,1,1,0,Net Wt. 450 g,450,g,1,0,1,grams (g),450,450,g,log10 median,loaf bread,medium packs,AKLAN,ALTAVAS,Poblacion Altavas Roadside,Altavas Sari Sari Store,267KBI1T,,,,,,,,,,,,,,,,,,,,,,label_closeup,,,,,,not_visible,,,,,,Net Wt. 450 g,,,medium_size
55,1778473772789,1778473772789.jpg,450,g,package label (g),0,1,1,0,Net Wt. 450 g,450,g,1,0,1,grams (g),450,450,g,log10 median,loaf bread,medium packs,AKLAN,ALTAVAS,Altavas Public Market,NG's Variety Store,3MBYD38K,,,,,,,,,,,,,,,,,,,,,,label_closeup,,,,,,not_visible,,,,,,Net Wt. 450 g,,,medium_size
56,1778472860477,1778472860477.jpg,450,g,package label (g),0,1,1,0,Net Wt. 450 g,450,g,1,0,1,grams (g),450,450,g,log10 median,loaf bread,medium packs,AKLAN,ALTAVAS,Altavas Public Market,MJ Store,ULGWLFRP,,,,,,,,,,,,,,,,,,,,,,label_closeup,,,,,,not_visible,,,,,,Net Wt. 450 g,,,medium_size
57,1778471914062,1778471914062.jpg,450,g,package label (g),0,1,1,0,Net Wt. 450 g,450,g,1,0,1,grams (g),450,450,g,log10 median,loaf bread,medium packs,AKLAN,ALTAVAS,Poblacion Altavas Talipapa,Murayan Corner,ZEXX511R,,,,,,,,,,,,,,,,,,,,,,label_closeup,,,,,,not_visible,,,,,,Net Wt. 450 g,,,medium_size
58,1778470011633,1778470011633.jpg,160,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.16,160,g,block governs,pork,slice,AKLAN,ALTAVAS,Gen.Luna St.Poblacion Altavas Talipapa,Zonio Meat Shop,D52LQX3N,,,,,,,,.16,,,,,,,160,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
59,1778298981027,1778298981027.jpg,180,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.18000001,180,g,log10 median,"prawns, lobster, shrimp",tumpok,AKLAN,ALTAVAS,Altavas Public Market,Mercedes Fish Stall,3Q0DDF1E,,,,,,,,.18,,,,,,,180,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,conventional_nsu
60,1778296610754,1778296610754.jpg,130,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.13,130,g,log10 median,"prawns, lobster, shrimp",tumpok,AKLAN,ALTAVAS,Altavas Public Market,Gina Fish Stand,N7Q4YMPG,,,,,,,,.13,,,,,,,130,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,conventional_nsu
61,1778296878188,1778296878188.jpg,135,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.13500001,135,g,log10 median,"prawns, lobster, shrimp",tumpok,AKLAN,ALTAVAS,Altavas Public Market,Maribeth Fish Stand,QLZJDC75,,,,,,,,.135,,,,,,,135,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,conventional_nsu
62,1778296289481,1778296289481.jpg,65,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.064999998,65,g,log10 median,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,AKLAN,ALTAVAS,Altavas Public Market,TOCZ Store,H3945VYR,,,,,,,,.065,,,,,,,65,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,municipality_median
63,1778297547324,1778297547324.jpg,70,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.07,70,g,log10 median,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Jonard Processed Meat Stand,KZEV32OO,,,,,,,,.07,,,,,,,70,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,municipality_median
64,1778297934439,1778297934439.jpg,,,,0,0,0,0,,,,0,0,0,grams (g),.07,70,g,log10 median,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,AKLAN,ALTAVAS,Altavas Public Market,Jindel Delantar Chicken Stall,VMA9Y4L3,,,,,,,,,,,,,,,,,,,,,scale_with_item,,,,,,ambiguous,,,,,,,,,,municipality_median
71,1778207894293,1778207894293.jpg,500,g,human,1,1,0,0,,,,0,0,0,grams (g),.5,500,g,log10 median,cabbage,pieces or units,AKLAN,BANGA,Libas Banga Talipapa,Dante Store,9A4Q1VUI,.5,0.5,scale,1,,,,,,,,500,,,,,,,scale_with_item,,,,,scale_with_item,not_visible,,,,,not_visible,,,,,,,small_size
72,1778207913516,1778207913516.jpg,708,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.70999998,710,g,log10 median,cabbage,pieces or units,AKLAN,BANGA,Libas Banga Talipapa,Dante Store,9A4Q1VUI,,,,,,,,.708,,,,,,,708,,,,,,scale_with_item,,,,,,probable,,,,,,,,,,medium_size
76,1778121004546,1778121004546.jpg,360,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.36000001,360,g,log10 median,cabbage,pieces or units,AKLAN,BANGA,Bacan Banga Talipapa,Ashlei Meat and Vegetable Trading,GX2FFSQG,,,,,,,,.36,,,,,,,360,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
77,1778121024706,1778121024706.jpg,760,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.75999999,760,g,log10 median,cabbage,pieces or units,AKLAN,BANGA,Bacan Banga Talipapa,Ashlei Meat and Vegetable Trading,GX2FFSQG,,,,,,,,.76,,,,,,,760,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
78,1778117431003,1778117431003.jpg,275,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.27500001,275,g,log10 median,cabbage,pieces or units,AKLAN,BANGA,Banga Public Market,Rona Vegetable Store,MVTFUO0O,,,,,,,,.275,,,,,,,275,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
79,1778117455605,1778117455605.jpg,795,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.79500002,795,g,log10 median,cabbage,pieces or units,AKLAN,BANGA,Banga Public Market,Rona Vegetable Store,MVTFUO0O,,,,,,,,.795,,,,,,,795,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
82,1778206201155,1778206201155.jpg,390,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.33000001,330,g,log10 median,cabbage,pieces or units,AKLAN,BANGA,Brgy.Tabayon Banga Roadside,Dionesio Store,T3MJNM8T,,,,,,,,.39,,,,,,,390,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
83,1778206241900,1778206241900.jpg,,,,0,0,0,0,,,,0,0,0,grams (g),.85500002,855,g,log10 median,cabbage,pieces or units,AKLAN,BANGA,Brgy.Tabayon Banga Roadside,Dionesio Store,T3MJNM8T,,,,,,,,,,,,,,,,,,,,,scale_with_item,,,,,,ambiguous,,,,,,,,,,medium_size
84,1778121779159,1778121779159.jpg,475,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.47499999,475,g,log10 median,cabbage,pieces or units,AKLAN,BANGA,Libas Banga Talipapa,Kim Fruit and Vegetable Store,WE4LTI5N,,,,,,,,.475,,,,,,,475,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
90,1778204839924,1778204839924.jpg,335,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.33500001,335,g,log10 median,camote tops,bundle,AKLAN,BANGA,Libas Banga Roadside,Richard Store,BO1MDJW3,,,,,,,,.335,,,,,,,335,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,conventional_nsu
91,1778122431459,1778122431459.jpg,,,,0,0,0,0,,,,0,0,0,grams (g),.79000002,790,g,log10 median,camote tops,bundle,AKLAN,BANGA,Libas Banga Talipapa,Lyre Variety Store,NOC31PB8,,,,,,,,,,,,,,,,,,,,,scale_with_item,,,,,,ambiguous,,,,,,,,,,conventional_nsu
96,1778122218230,1778122218230.jpg,910,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.91000003,910,g,block governs,carrot,pieces or units,AKLAN,BANGA,Bacan Banga Talipapa,Lyre Variety Store,2J9XWORY,,,,,,,,.91,,,,,,,910,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
97,1778122283095,1778122283095.jpg,,,,0,0,0,0,,,,0,0,0,grams (g),.18000001,180,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Libas Banga Talipapa,Lyre Variety Store,8647D7PJ,,,,,,,,,,,,,,,,,,,,,scale_with_item,,,,,,not_visible,,,,,,,,,,small_size
98,1778121094914,1778121094914.jpg,85,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.085000001,85,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Libas Banga Talipapa,Ashlei Meat and Vegetable Trading,B4X1QL09,,,,,,,,.085,,,,,,,85,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
99,1778121112306,1778121112306.jpg,130,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.13,130,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Libas Banga Talipapa,Ashlei Meat and Vegetable Trading,B4X1QL09,,,,,,,,.13,,,,,,,130,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
100,1778206320808,1778206320808.jpg,135,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.13500001,135,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Libas Banga Roadside,Dionesio Store,GFFE25K0,,,,,,,,.135,,,,,,,135,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
101,1778206343210,1778206343210.jpg,206,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.205,205,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Libas Banga Roadside,Dionesio Store,GFFE25K0,,,,,,,,.206,,,,,,,206,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
102,1778118972103,1778118972103.jpg,105,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.105,105,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Banga Public Market,Geniefe redecio store,O0RU4CRR,,,,,,,,.105,,,,,,,105,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
103,1778118987054,1778118987054.jpg,220,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.22,220,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Banga Public Market,Geniefe redecio store,O0RU4CRR,,,,,,,,.22,,,,,,,220,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
104,1778204764576,1778204764576.jpg,155,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.155,155,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Libas Banga Roadside,Richard Store,PPFED4ZH,,,,,,,,.155,,,,,,,155,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
105,1778204787227,1778204787227.jpg,215,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.27500001,275,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Libas Banga Roadside,Richard Store,PPFED4ZH,,,,,,,,.215,,,,,,,215,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
106,1778118596815,1778118596815.jpg,85,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.085000001,85,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Banga Public Market,Androdel Vegetable Stand,Q7NJK7D0,,,,,,,,.085,,,,,,,85,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
107,1778118609675,1778118609675.jpg,145,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.145,145,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Banga Public Market,Androdel Vegetable Stand,Q7NJK7D0,,,,,,,,.145,,,,,,,145,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
108,1778118622131,1778118622131.jpg,200,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.2,200,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Banga Public Market,Androdel Vegetable Stand,Q7NJK7D0,,,,,,,,.2,,,,,,,200,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,large_size
109,1778117223598,1778117223598.jpg,120,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.12,120,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Banga Public Market,Ruth Vegetable Store,UN0V18XQ,,,,,,,,.12,,,,,,,120,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
110,1778117239723,1778117239723.jpg,205,g,human,1,1,0,0,,,,0,0,0,grams (g),.205,205,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Banga Public Market,Ruth Vegetable Store,UN0V18XQ,.205,0.205,scale,0,,.205,.205,,,,.205,205,205,205,,,,205,scale_with_item,scale_with_item,,,,scale_with_item,clear,clear,,,,clear,,,,,,,medium_size
111,1778121830667,1778121830667.jpg,125,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.125,125,g,log10 median,carrot,pieces or units,AKLAN,BANGA,Libas Banga Talipapa,Kim Fruit and Vegetable Store,YG9LDYV5,,,,,,,,.125,,,,,,,125,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
112,1778118221302,1778118221302.jpg,685,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.685,685,g,log10 median,chicken,pieces or units,AKLAN,BANGA,Banga Public Market,Jenny Meat Stand,685SLXF0,,,,,,,,.6850000000000001,,,,,,,685,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
113,1778116935725,1778116935725.jpg,560,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.56,560,g,log10 median,chicken,pieces or units,AKLAN,BANGA,Banga Public Market,Marian Dressed Chicken,8O5DNTHH,,,,,,,,.5600000000000001,,,,,,,560,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,medium_size
114,1778211382116,1778211382116.jpg,385,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.38499999,385,g,log10 median,chicken,pieces or units,AKLAN,BANGA,Libas Banga Roadside,Meryl's Meat Shop,P8JF9S5U,,,,,,,,.385,,,,,,,385,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
115,1778125057244,1778125057244.jpg,95,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.094999999,95,g,log10 median,chicken,pieces or units,AKLAN,BANGA,Jumarap Banga Roadside,Nervar Store,T535IY7Q,,,,,,,,.095,,,,,,,95,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
116,1778117943738,1778117943738.jpg,215,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.215,215,g,log10 median,chicken,pieces or units,AKLAN,BANGA,Banga Public Market,Rhea Meat Shop,WANAF9LO,,,,,,,,.215,,,,,,,215,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
117,1778124728402,1778124728402.jpg,160,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.16,160,g,log10 median,chicken,pieces or units,AKLAN,BANGA,Libas Banga Talipapa,Jofel Fish Stand,WKICAXTH,,,,,,,,.16,,,,,,,160,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,small_size
118,1778210891441,1778210891441.jpg,200,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),.27000001,270,g,log10 median,chicken,pieces or units,AKLAN,BANGA,Libas Banga Roadside,Len Meat Stand,YO4X20Z5,,,,,,,,.2,,,,,,,200,,,,,,scale_with_item,,,,,,probable,,,,,,,,,,small_size
121,1778116807242,1778116807242.jpg,1420,g,sonnet sweep,0,1,0,0,,,,0,0,0,grams (g),1.42,1420,g,log10 median,chicken,whole (chicken),AKLAN,BANGA,Banga Public Market,Marian Dressed Chicken,34CF3XCB,,,,,,,,1.42,,,,,,,1420,,,,,,scale_with_item,,,,,,clear,,,,,,,,,,large_size
