id,image_code,rule_verdict,photo_g,photo_unit,photo_src,from_human,corrected_weight,ratio,offby,raw_tick,raw_weight,pub_unit,pub_rule,dimension_unexpressed,mL_rule_pending,pull_item,harmonized_nsu_unit,pull_province,pull_municipal_city,market_name,store_stall_name,vendor_id,filename,has_reading,evidence_is_label,ml_rule_applied,pkg_text,pkg_qty,pkg_unit,has_pkg_qty,pkg_seen,v_hum,raw_hum,reading_source,h_glare_flag,h_notes,v_hir,v_son,v_swp,v_rsc,v_hai,g_hum,g_hir,g_son,g_swp,g_rsc,g_hai,type_son,type_hir,type_swp,type_rsc,type_hai,leg_son,leg_hir,leg_swp,leg_rsc,leg_hai,pkg_son,pkg_hir,pkg_swp,pkg_rsc,pkg_hai,item_nsu_hetero_type,no_published,band,hband
6545,1773722622896,hold,85,g,sonnet sweep,0,850,.1,10,grams (g),.85000002,g,block governs,0,0,camote,bilog,ILOILO,CONCEPCION,Nancy Store,Nancy,JQGTA9FC,1773722622896.jpg,1,0,0,,,,0,0,,,,,,,,.085,,,,,,85,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,5 - 20x
9646,1773992412689,hold,55,g,sonnet sweep,0,550,.1,10,grams (g),.55000001,g,block governs,0,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,ILOILO,SANTA BARBARA,Balabag Talipapa,Jared Bakeshop,4M97ZSIS,1773992412689.jpg,1,0,0,,,,0,0,,,,,,,,.055,,,,,,55,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,5 - 20x
6490,1774054677955,hold,48,mL,package label (mL),0,480,.1,10,Litres (L),.47999999,g,block governs,1,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,ILOILO,CARLES,Carles Public market,AJV Sari Sari Store,K5GD6IE6,1774054677955.jpg,1,1,1,48ml,48,mL,1,1,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,not_visible,,,,,48ml,,,small_size,0,,5 - 20x
1766,1776650704998,hold,70,mL,package label (mL),0,700,.1,10,Litres (L),.69999999,g,block governs,1,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,ANTIQUE,BELISON,Belison public market,Haus Corner Variety Store,S86XLQGO,1776650704998.jpg,1,1,1,Net Content: 70 mL,70,mL,1,1,,,,,,,,,,,,,,,,,,,label_closeup,,,,,not_visible,,,,,Net Content: 70 mL,,,small_size,0,,5 - 20x
9349,1774058611117,hold,30,g,package label (g),0,300,.1,10,grams (g),.30000001,g,block governs,0,0,"crackers, cookies, buiscuits, chips/curls",pieces or units,ILOILO,SAN MIGUEL,San Miguel Public Market,Jane Sari-Sari Store,EENGBMVY,1774058611117.jpg,1,1,0,Net Wt. 1.06 oz (30g),30,g,1,1,,,,,,,,,,,,,,,,,item_no_scale,,,,label_closeup,not_visible,,,,not_visible,Net Wt. 1.06 oz (30g),,,,,small_size,0,,5 - 20x
4944,1775534776224,hold,350,mL,package label (mL),0,35,10,10,Litres (L),.34999999,mL,log10 median,0,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,CAPIZ,SIGMA,roadside,Eatscape Food House,TZR47U4D,1775534776224.jpg,1,1,1,Net Weight 350ml,350,mL,1,1,,,,,,,,,,,,,,,,,,,label_closeup,,,,,not_visible,,,,,Net Weight 350ml,,,medium_size,0,,5 - 20x
11246,1777343511311,hold,45,g,sonnet tiled,0,450,.1,10,grams (g),45,g,block governs,0,0,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,NEGROS OCCIDENTAL,PULUPANDAN,Pulupandan,Mary ann,U4YU8NV7,1777343511311.jpg,1,0,0,,,,0,0,,,,,,,.045,,,,,,45,,,,scale_with_item,,,,item_no_scale,clear,,,,not_visible,,,,,,municipality_median,0,,5 - 20x
9648,1773986875251,hold,30,g,sonnet sweep,0,300,.1,10,grams (g),.30000001,g,block governs,0,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,ILOILO,SANTA BARBARA,Zone1Arroyo St.Sta Barbara,Ian Bakeshop,REQ0YNIX,1773986875251.jpg,1,0,0,,,,0,0,,,,,,,,.03,,,,,,30,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,5 - 20x
8405,1775703101721,hold,1200,g,package label (g),0,120,10,10,Litres (L),.0012000001,g,log10 median,0,0,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,ILOILO,MINA,Mina Public Market,C& J variety Store,04PES6H6,1775703101721.jpg,1,1,0,NET WT. 1.20 KG,1200,g,1,1,,,,,,,,,,,,,,,,,item_no_scale,,,,label_closeup,not_visible,,,,not_visible,NET WT. 1.20 KG,,,,NET WT. 1.20 KG,large_size,0,,5 - 20x
5146,1775867745173,hold,1700,g,sonnet sweep,0,170,10,10,grams (g),.17,g,log10 median,0,0,cabbage,putos (mix vegetable),ILOILO,ALIMODIAN,Alimodian public market,Shine Store,XJK096K2,1775867745173.jpg,1,0,0,,,,0,0,,,,,,,,1.7,,,,,,1700,,,,,scale_with_item,,,,,probable,,,,,,,,province_median,0,,5 - 20x
4883,1776046490364,hold,10000,mL,package label (mL),0,1000,10,10,Litres (L),.0099999998,mL,log10 median,0,0,"mineral or spring water, all drinking water sold in containers",refilled,CAPIZ,SAPI-AN,Sapi-an Public market,Arrow Store,KPWQMH2H,1776046490364.jpg,1,1,1,10 LITERS,10000,mL,1,1,,,,,,,,,,,,,,,,,,,label_closeup,,,,,not_visible,,,,,10 LITERS,,,medium_size,0,,5 - 20x
6868,1775533986021,hold,35,mL,package label (mL),0,350,.1,10,grams (g),.34999999,mL,block governs,0,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,ILOILO,DUEĂ‘AS,Duenas Public Market,Causing Store,51NJZTU3,1775533986021.jpg,1,1,1,Net Volume 35 ml,35,mL,1,1,,,,,,,,,,,,,,,,,,,label_closeup,,,,,not_visible,,,,,Net Volume 35 ml,,,small_size,0,,5 - 20x
2401,1779256979804,hold,465,g,sonnet sweep,0,47,9.893617021276595,9.893617021276595,grams (g),.465,g,block governs,0,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,ANTIQUE,LAUA-AN,Poblacion Laua-an Roadside,Plato - Loral Restaurant,BLFJXF8M,1779256979804.jpg,1,0,0,,,,0,0,,,,,,,,.465,,,,,,465,,,,,scale_with_item,,,,,clear,,,,,,,,municipality_median,0,,5 - 20x
863,1778028947163,hold,685,g,sonnet sweep,0,85,8.058823529411764,8.058823529411764,grams (g),.085000001,g,log10 median,0,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,AKLAN,MAKATO,Poblacion Makato Talipapa,Kim Store,8TCG1317,1778028947163.jpg,1,0,0,,,,0,0,,,,,,,,.6850000000000001,,,,,,685,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,5 - 20x
2541,1776665156649,hold,20,g,sonnet sweep,0,120,.1666666666666667,6,grams (g),.12,g,log10 median,0,0,carrot,pieces or units,ANTIQUE,PANDAN,Pandan Public Market,Michael John Vegetable Stand,57WIS8JC,1776665156649.jpg,1,0,0,,,,0,0,,,,,,,,.02,,,,,,20,,,,,scale_with_item,,,,,probable,,,,,,,,small_size,0,,5 - 20x
7820,1773890518371,hold,20,g,sonnet sweep,0,120,.1666666666666667,6,grams (g),.12,g,log10 median,0,0,camote,bilog,ILOILO,LEMERY,Lemery Talipapa,Aguilar Store,ZMR37P0V,1773890518371.jpg,1,0,0,,,,0,0,,,,,,,,.02,,,,,,20,,,,,scale_with_item,,,,,probable,,,,,,,,small_size,0,,5 - 20x
10711,1777687747924,hold,500,mL,package label (mL),0,100,5,5,Litres (L),.1,g,log10 median,1,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),Roadside,Mars Store,CUPJSIXA,1777687747924.jpg,1,1,1,500mL,500,mL,1,1,,,,,,,,,,,,,,,,,,,label_closeup,,,,,not_visible,,,,,500mL,,,small_size,0,,5 - 20x
855,1777448700919,hold,95,g,sonnet sweep,0,395,.2405063291139241,4.157894736842105,grams (g),.39500001,g,log10 median,0,0,fresh fish,pieces or units,AKLAN,MAKATO,Dumga Makato Talipapa,John Fish Stall,FB1MN083,1777448700919.jpg,1,0,0,,,,0,0,,,,,,,,.095,,,,,,95,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,2 - 5x
2546,1776749986707,hold,840,g,sonnet sweep,0,240,3.5,3.5,grams (g),.23999999,g,log10 median,0,0,carrot,pieces or units,ANTIQUE,PANDAN,Nauring Pandan Roadside,Lyn Store,GJFY5NGY,1776749986707.jpg,1,0,0,,,,0,0,,,,,,,,.84,,,,,,840,,,,,scale_with_item,,,,,probable,,,,,,,,medium_size,0,,2 - 5x
2552,1776749502966,hold,885,g,sonnet sweep,0,255,3.470588235294118,3.470588235294118,grams (g),.255,g,log10 median,0,0,carrot,pieces or units,ANTIQUE,PANDAN,Nauring Pandan Roadside,Rendon Rolling Fruits and Vegetable,X8HKZRXL,1776749502966.jpg,1,0,0,,,,0,0,,,,,,,,.885,,,,,,885,,,,,scale_with_item,,,,,probable,,,,,,,,medium_size,0,,2 - 5x
8520,1778719778040,hold,865,g,sonnet sweep,0,265,3.264150943396226,3.264150943396226,grams (g),.26499999,g,log10 median,0,0,mango,pieces or units,ILOILO,NEW LUCENA,New Lucena Talipapa,Wako Wako Fruit Stand,56XRF1HZ,1778719778040.jpg,1,0,0,,,,0,0,,,,,,,,.865,,,,,,865,,,,,scale_with_item,,,,,probable,,,,,,,,medium_size,0,,2 - 5x
9816,1773910264761,hold,1530,g,sonnet sweep,0,530,2.886792452830189,2.886792452830189,grams (g),.52999997,g,block governs,0,0,fresh fish,pack,ILOILO,SARA,talipapa,none,54YXCTJ2,1773910264761.jpg,1,0,0,,,,0,0,,,,,,,,1.53,,,,,,1530,,,,,scale_with_item,,,,,clear,,,,,,,,province_median,0,,2 - 5x
9623,1773969852875,hold,920,g,sonnet sweep,0,320,2.875,2.875,grams (g),.31999999,g,log10 median,0,0,fresh fish,pieces or units,ILOILO,SANTA BARBARA,Merlin St.Sta. Barbara Roadside Market,Tabing Fish Stand,EXRH7CWU,1773969852875.jpg,1,0,0,,,,0,0,,,,,,,,.92,,,,,,920,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,2 - 5x
9318,1774318876014,hold,80,g,sonnet sweep,0,220,.3636363636363636,2.75,grams (g),.22,g,log10 median,0,0,carrot,pieces or units,ILOILO,SAN MIGUEL,Sitio Tuburan San Miguel Roadside,Ann Store,E941QUIR,1774318876014.jpg,1,0,0,,,,0,0,,,,,,,,.08,,,,,,80,,,,,scale_with_item,,,,,probable,,,,,,,,medium_size,0,,2 - 5x
5152,1776041702218,hold,950,g,sonnet sweep,0,350,2.714285714285714,2.714285714285714,grams (g),.34999999,g,log10 median,0,0,camote,bilog,ILOILO,ALIMODIAN,Roadside Alimodian,7 cities roadside vegetable stall,BHG3JLXH,1776041702218.jpg,1,0,0,,,,0,0,,,,,,,,.95,,,,,,950,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,2 - 5x
670,1777687199972,hold,955,g,sonnet sweep,0,355,2.690140845070423,2.690140845070423,grams (g),.35499999,g,log10 median,0,0,mango,pieces or units,AKLAN,LIBACAO,Libacao Public Market,Hazel Fruit and Vegetable Stall,0JUAJOTT,1777687199972.jpg,1,0,0,,,,0,0,,,,,,,,.955,,,,,,955,,,,,scale_with_item,,,,,probable,,,,,,,,large_size,0,,2 - 5x
7821,1773890538111,hold,58,g,sonnet sweep,0,150,.3866666666666667,2.586206896551724,grams (g),.15000001,g,log10 median,0,0,camote,bilog,ILOILO,LEMERY,Lemery Talipapa,Aguilar Store,ZMR37P0V,1773890538111.jpg,1,0,0,,,,0,0,,,,,,,,.058,,,,,,58,,,,,scale_with_item,,,,,probable,,,,,,,,medium_size,0,,2 - 5x
3150,1776825532809,hold,1670,g,sonnet sweep,0,670,2.492537313432836,2.492537313432836,grams (g),.67000002,g,log10 median,0,0,cabbage,pieces or units,ANTIQUE,TIBIAO,San Francisco Sur Tibiao Talipapa,Ranz Vegetable Stall,NT34BIKQ,1776825532809.jpg,1,0,0,,,,0,0,,,,,,,,1.67,,,,,,1670,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,2 - 5x
9748,1773909424751,hold,70,g,sonnet sweep,0,170,.4117647058823529,2.428571428571429,grams (g),.17,g,log10 median,0,0,camote tops,bugkos,ILOILO,SARA,talipapa,none,64Z5BKWL,1773909424751.jpg,1,0,0,,,,0,0,,,,,,,,.07,,,,,,70,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,2 - 5x
8767,1775704731507,hold,195,g,sonnet sweep,0,455,.4285714285714285,2.333333333333333,grams (g),.45500001,g,log10 median,0,0,carrot,pieces or units,ILOILO,POTOTAN,Pototan old market,Haydee store,I1BMJE6X,1775704731507.jpg,1,0,0,,,,0,0,,,,,,,,.195,,,,,,195,,,,,scale_with_item,,,,,probable,,,,,,,,large_size,0,,2 - 5x
9614,1773885855980,hold,880,g,sonnet sweep,0,390,2.256410256410256,2.256410256410256,grams (g),.38999999,g,log10 median,0,0,fresh fish,pieces or units,ILOILO,SANTA BARBARA,Sta.Barbara Public Market,Rodelyn Fish Stand,08FR6OEZ,1773885855980.jpg,1,0,0,,,,0,0,,,,,,,,.88,,,,,,880,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,2 - 5x
5484,1774581902994,hold,908,g,sonnet sweep,0,405,2.241975308641975,2.241975308641975,grams (g),.405,g,block governs,0,0,pork,slice,ILOILO,BADIANGAN,Badiangan Talipapa,Ron Liam Meat Shop,I1C4FA2H,1774581902994.jpg,1,0,0,,,,0,0,,,,,,,,.908,,,,,,908,,,,,scale_with_item,,,,,probable,,,,,,,,province_median,0,,2 - 5x
8046,1775881831214,hold,995,g,sonnet sweep,0,445,2.235955056179775,2.235955056179775,grams (g),.44499999,g,log10 median,0,0,cabbage,pieces or units,ILOILO,MAASIN,Brgy.Mandog Maasin Talipapa,Catherine Store,QA5BBTDQ,1775881831214.jpg,1,0,0,,,,0,0,,,,,,,,.995,,,,,,995,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,2 - 5x
9682,1778724253291,hold,925,g,sonnet sweep,0,425,2.176470588235294,2.176470588235294,grams (g),.42500001,g,log10 median,0,0,loaf bread,medium packs,ILOILO,SANTA BARBARA,Balabag Sta.Barbara Roadside,RJH Bakeshop,WRZRX4M2,1778724253291.jpg,1,0,0,,,,0,0,,,,,,,,.925,,,,,,925,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,2 - 5x
9995,1773730865630,hold,355,mL,human (mL rule) + mL label,0,760,.4671052631578947,2.140845070422535,grams (g),760,g,log10 median,1,0,"drinks at restaurant, hotel, cafe, or kiosk",pieces or units,ILOILO,TIGBAUAN,Tigbauan Public market,Papa igme carenderia,N4OJOZ2Q,1773730865630.jpg,1,1,1,355 mL,355,mL,1,1,355,355 mL,package,0,both mL from packaging and kg from scale are legible from the photo. We should prioritize the volume reading from the packaging in such cases.,.78,.76,,,.66,355,780,760,,,660,scale_with_item,scale_with_item,,,scale_with_item,probable,clear,,,clear,355 mL,355 mL,,,,small_size,0,,2 - 5x
5233,1776043707559,hold,95,mL,package label (mL),0,45,2.111111111111111,2.111111111111111,grams (g),45,mL,log10 median,0,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,ILOILO,ALIMODIAN,Roadside Alimodian,Hapit anay store,2ZL049FW,1776043707559.jpg,1,1,1,Net Content: 95mL (45g),95,mL,1,1,,,,,,,,,,,,,,,,,,,label_closeup,,,,,not_visible,,,,,Net Content: 95mL (45g),,,small_size,0,,2 - 5x
9286,1774062582225,hold,380,g,sonnet sweep,0,790,.4810126582278481,2.078947368421053,grams (g),.79000002,g,log10 median,0,0,cabbage,pieces or units,ILOILO,SAN MIGUEL,Crossing San Jose Talipapa,Cristy Fruit Stand,8BDE4VWU,1774062582225.jpg,1,0,0,,,,0,0,,,,,,,,.38,,,,,,380,,,,,scale_with_item,,,,,probable,,,,,,,,large_size,0,,2 - 5x
2412,1776386530095,hold,375,mL,package label (mL),0,750,.5,2,grams (g),750,mL,log10 median,0,0,"liquor (e.g, whisky, coconut wine)",long-neck,ANTIQUE,LAUA-AN,Laua-an Public Market,Dalumpines Store,6I0HAZM5,1776386530095.jpg,1,1,1,375 mL,375,mL,1,1,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,not_visible,,,,,375 mL,,,large_size,0,,2 - 5x
4610,1776304644527,hold,375,mL,package label (mL),0,750,.5,2,Litres (L),.75,mL,log10 median,0,0,"liquor (e.g, whisky, coconut wine)",lipid/lapad,CAPIZ,PILAR,PilarbPublic Market,Bacay Store,A3UBT9N4,1776304644527.jpg,1,1,1,375 mL,375,mL,1,1,,,,,,,,,,,,,,,,,item_no_scale,,,,item_no_scale,not_visible,,,,not_visible,375 mL,,,,375 mL,large_size,0,,2 - 5x
11477,1776997911798,hold,375,mL,package label (mL),0,750,.5,2,Litres (L),750,mL,log10 median,0,0,"liquor (e.g, whisky, coconut wine)",long-neck,NEGROS OCCIDENTAL,VALLADOLID,Valladpolid Public Market,HMMFF Store,3CGYZF10,1776997911798.jpg,1,1,1,375 mL,375,mL,1,1,,,,,,,,,,,,,,,,,,,item_no_scale,,,,,not_visible,,,,,375 mL,,,province_median,0,,2 - 5x
6117,1778895306551,hold,0,g,sonnet sweep,0,200,0,0,grams (g),.2,g,log10 median,0,0,cabbage,putos (mix vegetable),ILOILO,CABATUAN,Tabucan Talipapa,LRRJ VEGGIES and MORE,0ORASPCT,1778895306551.jpg,1,0,0,,,,0,0,,,,,,,,0,,,,,,0,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,2 - 5x
