id,image_code,rule_verdict,photo_g,photo_unit,photo_src,from_human,corrected_weight,ratio,offby,raw_tick,raw_weight,pub_unit,pub_rule,dimension_unexpressed,mL_rule_pending,pull_item,harmonized_nsu_unit,pull_province,pull_municipal_city,market_name,store_stall_name,vendor_id,filename,has_reading,pkg_seen,v_hum,raw_hum,reading_source,h_glare_flag,h_notes,v_hir,v_son,v_swp,v_rsc,v_hai,g_hum,g_hir,g_son,g_swp,g_rsc,g_hai,type_son,type_hir,type_swp,type_rsc,type_hai,leg_son,leg_hir,leg_swp,leg_rsc,leg_hai,pkg_son,pkg_hir,pkg_swp,pkg_rsc,pkg_hai,item_nsu_hetero_type,no_published,band,hband
9514,1773969996595,confirm,286,g,sonnet sweep,0,285,1.003508771929825,1.003508771929825,grams (g),.285,g,log10 median,0,0,cabbage,pieces or units,ILOILO,SANTA BARBARA,Zone1Arroyo St.Sta Barbara,Tabing Fish Stand,1I333SNK,1773969996595.jpg,1,0,,,,,,,,.286,,,,,,286,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
5296,1775870232376,confirm,316,g,sonnet sweep,0,315,1.003174603174603,1.003174603174603,grams (g),.315,g,log10 median,0,0,mango,pieces or units,ILOILO,ALIMODIAN,Alimodian public market,Russel fruit stand,SSI0TR3N,1775870232376.jpg,1,0,,,,,,,,.316,,,,,,316,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
1752,1776648500898,confirm,316,g,sonnet sweep,0,315,1.003174603174603,1.003174603174603,grams (g),.315,g,log10 median,0,0,chicken,pieces or units,ANTIQUE,BELISON,Belison public market,M and G meat store,1LPE4RUV,1776648500898.jpg,1,0,,,,,,,,.316,,,,,,316,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
72,1778207913516,confirm,708,g,sonnet sweep,0,710,.9971830985915493,1.002824858757062,grams (g),.70999998,g,log10 median,0,0,cabbage,pieces or units,AKLAN,BANGA,Libas Banga Talipapa,Dante Store,9A4Q1VUI,1778207913516.jpg,1,0,,,,,,,,.708,,,,,,708,,,,,scale_with_item,,,,,probable,,,,,,,,medium_size,0,,
9515,1773970024659,confirm,386,g,sonnet sweep,0,385,1.002597402597402,1.002597402597402,grams (g),.38499999,g,log10 median,0,0,cabbage,pieces or units,ILOILO,SANTA BARBARA,Zone1Arroyo St.Sta Barbara,Tabing Fish Stand,1I333SNK,1773970024659.jpg,1,0,,,,,,,,.386,,,,,,386,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
5429,1774581490985,confirm,406,g,sonnet sweep,0,405,1.002469135802469,1.002469135802469,grams (g),.405,g,log10 median,0,0,camote,bilog,ILOILO,BADIANGAN,Linaywan Badiangan Talipapa,Inocencia Vegetable Stand,FR1O5YOR,1774581490985.jpg,1,0,,,,,,,,.406,,,,,,406,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
6151,1773799808080,confirm,446,g,sonnet sweep,0,445,1.002247191011236,1.002247191011236,grams (g),.44499999,g,log10 median,0,0,camote,bilog,ILOILO,CABATUAN,Roadside,Sisa Store,XFMFP3OQ,1773799808080.jpg,1,0,,,,,,,,.446,,,,,,446,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
6943,1775545770318,confirm,2229,g,sonnet sweep,0,2225,1.001797752808989,1.001797752808989,grams (g),2.2249999,g,log10 median,0,0,rice,gantang,ILOILO,DUEĂ‘AS,Duenas road,MIS store,FU26W67X,1775545770318.jpg,1,0,,,,,,,,2.229,,,,,,2229,,,,,scale_with_item,,,,,probable,,,,,,,,conventional_nsu,0,,
3546,1778895004740,confirm,1366,g,sonnet sweep,0,1365,1.000732600732601,1.000732600732601,Kilograms (Kgs),1365,g,log10 median,0,0,chicken,bilog,CAPIZ,CUARTERO,Cuartero public market,Carmela sanchez store,TJA0OZ61,1778895004740.jpg,1,0,,,,,,,,1.366,,,,,,1366,,,,,scale_with_item,,,,,probable,,,,,,,,large_size,0,,
5588,1774408275669,confirm,210,g,sonnet sweep,0,210,1,1,grams (g),.20999999,g,log10 median,0,0,carrot,pieces or units,ILOILO,BANATE,banate Public Market,none,FDPS6SAI,1774408275669.jpg,1,0,,,,,,,,.21,,,,,,210,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
618,1777600049040,confirm,530,g,sonnet sweep,0,530,1,1,grams (g),.52999997,g,log10 median,0,0,chicken,pieces or units,AKLAN,LIBACAO,Libacao Public Market,A'V Dressed  Chicken,WSXY2WJ5,1777600049040.jpg,1,0,,,,,,,,.53,,,,,,530,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
8754,1775705260427,confirm,115,g,sonnet sweep,0,115,1,1,grams (g),.115,g,log10 median,0,0,camote tops,bugkos,ILOILO,POTOTAN,Potitan New Public Market,Maryjane,00GTUWGS,1775705260427.jpg,1,0,,,,,,,,.115,,,,,,115,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
2914,1776650589641,confirm,250,g,sonnet sweep,0,250,1,1,grams (g),250,mL,log10 median,0,0,"drinks at restaurant, hotel, cafe, or kiosk",pieces or units,ANTIQUE,SEBASTE,Sebaste Public market,Elegant frozen foods,HCKX8OGE,1776650589641.jpg,1,0,,,,,,,,.25,,,,,,250,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
7567,1774418784565,confirm,560,g,sonnet sweep,0,560,1,1,grams (g),.5600000000000001,g,log10 median,0,0,cabbage,pieces or units,ILOILO,LAMBUNAO,Lambunao Public Market,Sofia Vegetable Stand,L77HP0KK,1774418784565.jpg,1,0,,,,,,,,.5600000000000001,,,,,,560,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
9762,1773887712968,confirm,290,g,sonnet sweep,0,290,1,1,grams (g),.28999999,g,log10 median,0,0,camote,bilog,ILOILO,SARA,Sara Wet Market,Editha Gulayan,VQESTI5C,1773887712968.jpg,1,0,,,,,,,,.29,,,,,,290,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
1797,1776645556683,confirm,295,g,sonnet sweep,0,295,1,1,grams (g),.29499999,g,log10 median,0,0,mango,pieces or units,ANTIQUE,BELISON,Belison Public Market,Rasel Fruit store,77I79UQV,1776645556683.jpg,1,0,,,,,,,,.295,,,,,,295,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
11487,1776994722909,confirm,260,g,sonnet sweep,0,260,1,1,grams (g),.25999999,g,log10 median,0,0,mango,pieces or units,NEGROS OCCIDENTAL,VALLADOLID,Valladpolid Public Market,Kenneth fruits,5VJXWXBR,1776994722909.jpg,1,0,,,,,,,,.26,,,,,,260,,,,,scale_with_item,,,,,clear,,,,,,,,province_median,0,,
9635,1773886590803,confirm,560,g,sonnet sweep,0,560,1,1,grams (g),.5600000000000001,g,log10 median,0,0,fresh fish,pieces or units,ILOILO,SANTA BARBARA,Sta.Barbara Public Market,Romel Fish Stand,UG0G6S6K,1773886590803.jpg,1,0,,,,,,,,.5600000000000001,,,,,,560,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
6480,1774051559980,confirm,435,g,sonnet sweep,0,435,1,1,grams (g),.435,g,log10 median,0,0,fresh fish,pieces or units,ILOILO,CARLES,Carles Public Market,Kardo Fish Stall,P7TWJGF4,1774051559980.jpg,1,0,,,,,,,,.435,,,,,,435,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
819,1778031957854,confirm,150,g,sonnet sweep,0,150,1,1,grams (g),.15000001,g,log10 median,0,0,carrot,pieces or units,AKLAN,MAKATO,Tugas Makato Roadside,Liz Store,GF7EJ0LO,1778031957854.jpg,1,0,,,,,,,,.15,,,,,,150,,,,,scale_with_item,,,,,probable,,,,,,,,medium_size,0,,
7816,1773882737984,confirm,775,g,sonnet sweep,0,775,1,1,grams (g),.77499998,g,log10 median,0,0,camote tops,bundle,ILOILO,LEMERY,Lemery Public Market,Analyn Store,HDP2LVTL,1773882737984.jpg,1,0,,,,,,,,.775,,,,,,775,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
8,1778293018458,confirm,125,g,sonnet sweep,0,125,1,1,grams (g),.125,g,log10 median,0,0,camote tops,bugkos,AKLAN,ALTAVAS,Altavas Public Market,Jocelyn Sari Sari Store,T26P9WHR,1778293018458.jpg,1,0,,,,,,,,.125,,,,,,125,,,,,scale_with_item,,,,,clear,,,,,,,,conventional_nsu,0,,
7840,1773970455808,confirm,290,g,sonnet sweep,0,290,1,1,grams (g),.28999999,g,log10 median,0,0,"crackers, cookies, buiscuits, chips/curls",putos,ILOILO,LEMERY,roadside,Diamante Store,I72GUBP7,1773970455808.jpg,1,0,,,,,,,,.29,,,,,,290,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
5774,1774405854786,confirm,80,g,sonnet sweep,0,80,1,1,grams (g),.079999998,g,log10 median,0,0,carrot,pieces or units,ILOILO,BAROTAC VIEJO,Vieko public market,Gelias store,378V182R,1774405854786.jpg,1,0,,,,,,,,.08,,,,,,80,,,,,scale_with_item,,,,,clear,,,,,,,,municipality_median,0,,
4550,1776301943451,confirm,90,g,sonnet sweep,0,90,1,1,grams (g),.090000004,g,log10 median,0,0,carrot,pieces or units,CAPIZ,PILAR,PilarbPublic Market,Delmoro Frozen Foods,7303FSOZ,1776301943451.jpg,1,0,,,,,,,,.09,,,,,,90,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
5084,1773708220998,confirm,140,g,sonnet sweep,0,140,1,1,grams (g),.14,g,log10 median,0,0,carrot,pieces or units,ILOILO,AJUY,Ajuy public market,Jorzabel store,73HRQ23C,1773708220998.jpg,1,0,,,,,,,,.14,,,,,,140,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
9811,1773883336722,confirm,300,g,sonnet sweep,0,300,1,1,grams (g),.30000001,g,log10 median,0,0,fresh fish,pieces or units,ILOILO,SARA,Sara Wet Market,Edsel Isdaan,UUHKHBV1,1773883336722.jpg,1,0,,,,,,,,.3,,,,,,300,,,,,scale_with_item,,,,,clear,,,,,,,,mp75_price,0,,
321,1777262622909,confirm,535,g,sonnet sweep,0,535,1,1,grams (g),.53500003,g,log10 median,0,0,cabbage,pieces or units,AKLAN,BURUANGA,Buruanga Public Market,Sonny Vegetable Stand,PG4ETB2C,1777262622909.jpg,1,0,,,,,,,,.535,,,,,,535,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
4639,1776300056061,confirm,265,g,sonnet sweep,0,265,1,1,grams (g),.26499999,g,log10 median,0,0,"prawns, lobster, shrimp",tumpok,CAPIZ,PILAR,Pilar Public Market,Rhodora Fish Stall,A08QFVM3,1776300056061.jpg,1,0,,,,,,,,.265,,,,,,265,,,,,scale_with_item,,,,,clear,,,,,,,,conventional_nsu,0,,
2452,1776994676139,confirm,390,g,sonnet sweep,0,390,1,1,grams (g),.38999999,g,log10 median,0,0,carrot,pieces or units,ANTIQUE,LIBERTAD,Libertad Public Market,Eddie Vegetable Stand,0V790D97,1776994676139.jpg,1,0,,,,,,,,.39,,,,,,390,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
9335,1774060940950,confirm,75,g,sonnet sweep,0,75,1,1,grams (g),.075000003,g,log10 median,0,0,carrot,pieces or units,ILOILO,SAN MIGUEL,Crossing San Jose Talipapa,Princess Zia Store,VPCL77CK,1774060940950.jpg,1,0,,,,,,,,.075,,,,,,75,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
9807,1773884873438,confirm,365,g,sonnet sweep,0,365,1,1,grams (g),.36500001,g,log10 median,0,0,fresh fish,pieces or units,ILOILO,SARA,Sara wet market,Ermelo Fish Stand,I0NFYZ3C,1773884873438.jpg,1,0,,,,,,,,.365,,,,,,365,,,,,scale_with_item,,,,,clear,,,,,,,,mp75_price,0,,
7812,1773889782015,confirm,310,g,sonnet sweep,0,310,1,1,grams (g),.31,g,log10 median,0,0,camote tops,bundle,ILOILO,LEMERY,Lemery Talipapa,Bebing Store,EGUAXHSF,1773889782015.jpg,1,0,,,,,,,,.31,,,,,,310,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
9570,1773881509842,confirm,135,g,sonnet sweep,0,135,1,1,grams (g),.13500001,g,log10 median,0,0,camote,bilog,ILOILO,SANTA BARBARA,Sta.Barbara. Public Market,Ma.Fe Vegetable Section,ZDIAVK5W,1773881509842.jpg,1,0,,,,,,,,.135,,,,,,135,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
9822,1773909362454,confirm,575,g,sonnet sweep,0,575,1,1,grams (g),.57499999,g,block governs,0,0,fresh fish,pack,ILOILO,SARA,talipapa,none,WOYA6XQC,1773909362454.jpg,1,0,,,,,,,,.575,,,,,,575,,,,,scale_with_item,,,,,clear,,,,,,,,province_median,0,,
5688,1774573951113,confirm,90,g,sonnet sweep,0,90,1,1,grams (g),.090000004,g,log10 median,0,0,carrot,pieces or units,ILOILO,BAROTAC NUEVO,Nuevo public market,Babes,O99I6CCZ,1774573951113.jpg,1,0,,,,,,,,.09,,,,,,90,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
9805,1773884022928,confirm,250,g,sonnet sweep,0,250,1,1,grams (g),.25,g,log10 median,0,0,fresh fish,pieces or units,ILOILO,SARA,Sara Wet Market,Nida Fish Stall,CEILWABS,1773884022928.jpg,1,0,,,,,,,,.25,,,,,,250,,,,,scale_with_item,,,,,clear,,,,,,,,mp75_price,0,,
8531,1775704622199,confirm,65,g,sonnet sweep,0,65,1,1,grams (g),.064999998,g,log10 median,0,0,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,ILOILO,NEW LUCENA,New Lucena Public Market,Arrivas Frozen Food Stand,19HOP479,1775704622199.jpg,1,0,,,,,,,,.065,,,,,,65,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
7683,1774424948535,confirm,155,g,sonnet sweep,0,155,1,1,grams (g),.155,g,log10 median,0,0,mango,pieces or units,ILOILO,LAMBUNAO,Lambunao Public Market,Dessa Fruit Stand,1NJT6OLS,1774424948535.jpg,1,0,,,,,,,,.155,,,,,,155,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
1715,1776649905283,confirm,100,g,sonnet sweep,0,100,1,1,grams (g),.1,g,log10 median,0,0,camote,binilog,ANTIQUE,BELISON,Belison Public Market,Silva Store,37IE4DH9,1776649905283.jpg,1,0,,,,,,,,.1,,,,,,100,,,,,scale_with_item,,,,,clear,,,,,,,,medium_size,0,,
9444,1773722963286,confirm,320,g,sonnet sweep,0,320,1,1,grams (g),.31999999,g,log10 median,0,0,carrot,pieces or units,ILOILO,SAN RAFAEL,San Rafael Public Market,Paul & Leian Sari Sari Store,I0083TD5,1773722963286.jpg,1,0,,,,,,,,.32,,,,,,320,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
2549,1776735370673,confirm,60,g,sonnet sweep,0,60,1,1,grams (g),.059999999,g,log10 median,0,0,carrot,pieces or units,ANTIQUE,PANDAN,Sto. Rosario Pandan Talipapa,Christopher Vegetable Stall,M7SBKEK5,1776735370673.jpg,1,0,,,,,,,,.06,,,,,,60,,,,,scale_with_item,,,,,probable,,,,,,,,small_size,0,,
9695,1773902897772,confirm,265,g,sonnet sweep,0,265,1,1,grams (g),.26499999,g,log10 median,0,0,mango,pieces or units,ILOILO,SANTA BARBARA,Balabag Talipapa,Wendel Store,0X0DBGJD,1773902897772.jpg,1,0,,,,,,,,.265,,,,,,265,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
4433,1776130083707,confirm,1440,g,sonnet sweep,0,1440,1,1,grams (g),1.4400001,g,log10 median,0,0,chicken,whole (chicken),CAPIZ,PANITAN,Panitan Public Market,Ojie and Katherine Dressed Chicken,GW4659TH,1776130083707.jpg,1,0,,,,,,,,1.44,,,,,,1440,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
10555,1777268008800,confirm,65,g,sonnet sweep,0,65,1,1,grams (g),.064999998,g,log10 median,0,0,camote,bilog,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA (SARAVIA),EB Magqlona Public Market,Catherine Vegetable,6HVEPDQQ,1777268008800.jpg,1,0,,,,,,,,.065,,,,,,65,,,,,scale_with_item,,,,,clear,,,,,,,,province_median,0,,
5963,1774404463927,confirm,70,g,sonnet sweep,0,70,1,1,grams (g),.07,g,log10 median,0,0,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,ILOILO,BATAD,Batad market,Andrie store,EU0S6H83,1774404463927.jpg,1,0,,,,,,,,.07,,,,,,70,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
9640,1773986944427,confirm,55,g,sonnet sweep,0,55,1,1,grams (g),.055,g,log10 median,0,0,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,ILOILO,SANTA BARBARA,Zone1Arroyo St.Sta Barbara,Ian Bakeshop,U6GXMPV0,1773986944427.jpg,1,0,,,,,,,,.055,,,,,,55,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
9509,1773728678859,confirm,470,g,sonnet hi-res,0,470,1,1,grams (g),.47,g,log10 median,0,0,loaf bread,small packs,ILOILO,SAN RAFAEL,San Rafael Public Market,AZ Pick,K55WXTMZ,1773728678859.jpg,1,0,,,,,,.47,.47,,,.075,,470,470,,,75,scale_with_item,scale_with_item,,,scale_with_item,clear,clear,,,clear,,,,,,medium_size,0,,
9859,1773892113306,confirm,180,g,sonnet sweep,0,180,1,1,grams (g),.18000001,g,log10 median,0,0,mango,pieces or units,ILOILO,SARA,Prutasan,Lens store,UH6GQWV4,1773892113306.jpg,1,0,,,,,,,,.18,,,,,,180,,,,,scale_with_item,,,,,probable,,,,,,,,small_size,0,,
6959,1778111125261,confirm,240,g,sonnet sweep,0,240,1,1,grams (g),.23999999,g,log10 median,0,0,carrot,pieces or units,ILOILO,DUMANGAS,roadside,Julian Spices and Vegetable,DS930HHX,1778111125261.jpg,1,0,,,,,,,,.24,,,,,,240,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
2637,1776215490364,confirm,1080,g,sonnet sweep,0,1080,1,1,grams (g),1.08,g,log10 median,0,0,camote,tumpok,ANTIQUE,PATNONGON,Patnungon Public Market,Minda Vegetable Stand,B48CTKT7,1776215490364.jpg,1,0,,,,,,,,1.08,,,,,,1080,,,,,scale_with_item,,,,,clear,,,,,,,,conventional_nsu,0,,
4404,1776132518616,confirm,100,g,sonnet sweep,0,100,1,1,grams (g),.1,g,log10 median,0,0,camote,bilog,CAPIZ,PANITAN,Panitan Public Market,Maricel Vegetable,PHAA6NMT,1776132518616.jpg,1,0,,,,,,,,.1,,,,,,100,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
822,1777425061394,confirm,285,g,sonnet sweep,0,285,1,1,grams (g),.285,g,log10 median,0,0,carrot,pieces or units,AKLAN,MAKATO,Makato Public Market,Rita Vegetable Stand,SSRI6LSE,1777425061394.jpg,1,0,,,,,,,,.285,,,,,,285,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
84,1778121779159,confirm,475,g,sonnet sweep,0,475,1,1,grams (g),.47499999,g,log10 median,0,0,cabbage,pieces or units,AKLAN,BANGA,Libas Banga Talipapa,Kim Fruit and Vegetable Store,WE4LTI5N,1778121779159.jpg,1,0,,,,,,,,.475,,,,,,475,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
6220,1773808941897,confirm,675,g,sonnet sweep,0,675,1,1,grams (g),.67500001,g,log10 median,0,0,loaf bread,large packs,ILOILO,CABATUAN,San Miguel Public Market,Grocers E Grocery Store,8IAS2AC7,1773808941897.jpg,1,0,,,,,,,,.675,,,,,,675,,,,,scale_with_item,,,,,clear,,,,,,,,large_size,0,,
4520,1776129561725,confirm,225,g,sonnet sweep,0,225,1,1,grams (g),.22499999,g,log10 median,0,0,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,CAPIZ,PANITAN,Panitan Public Market,Aljean and Marian Dressed Chicken,QRJ1HT7D,1776129561725.jpg,1,0,,,,,,,,.225,,,,,,225,,,,,scale_with_item,,,,,clear,,,,,,,,small_size,0,,
