id,pull_item,tick,m_dualcase,m_liqmass,m_solvol,mass,vol,liquid,icecream
64,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
65,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
66,"preserved or processed meat (tocino, tapa, longaniza, etc)",Kilograms (Kgs),0,0,0,1,0,0,0
67,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
68,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
69,cabbage,grams (g),0,0,0,1,0,0,0
70,cabbage,Kilograms (Kgs),0,0,0,1,0,0,0
71,cabbage,grams (g),0,0,0,1,0,0,0
72,cabbage,grams (g),0,0,0,1,0,0,0
73,cabbage,grams (g),0,0,0,1,0,0,0
74,cabbage,grams (g),0,0,0,1,0,0,0
75,cabbage,Kilograms (Kgs),0,0,0,1,0,0,0
76,cabbage,grams (g),0,0,0,1,0,0,0
77,cabbage,grams (g),0,0,0,1,0,0,0
78,cabbage,grams (g),0,0,0,1,0,0,0
79,cabbage,grams (g),0,0,0,1,0,0,0
80,cabbage,grams (g),0,0,0,1,0,0,0
81,cabbage,Kilograms (Kgs),0,0,0,1,0,0,0
82,cabbage,grams (g),0,0,0,1,0,0,0
83,cabbage,grams (g),0,0,0,1,0,0,0
84,cabbage,grams (g),0,0,0,1,0,0,0
85,cabbage,grams (g),0,0,0,1,0,0,0
86,cabbage,Kilograms (Kgs),0,0,0,1,0,0,0
87,camote tops,Kilograms (Kgs),0,0,0,1,0,0,0
88,camote tops,Kilograms (Kgs),0,0,0,1,0,0,0
89,camote tops,Kilograms (Kgs),0,0,0,1,0,0,0
90,camote tops,grams (g),0,0,0,1,0,0,0
91,camote tops,grams (g),0,0,0,1,0,0,0
92,camote tops,Kilograms (Kgs),0,0,0,1,0,0,0
93,camote tops,Kilograms (Kgs),0,0,0,1,0,0,0
94,camote tops,Kilograms (Kgs),0,0,0,1,0,0,0
95,camote tops,Kilograms (Kgs),0,0,0,1,0,0,0
96,carrot,grams (g),0,0,0,1,0,0,0
97,carrot,grams (g),0,0,0,1,0,0,0
98,carrot,grams (g),0,0,0,1,0,0,0
99,carrot,grams (g),0,0,0,1,0,0,0
100,carrot,grams (g),0,0,0,1,0,0,0
101,carrot,grams (g),0,0,0,1,0,0,0
102,carrot,grams (g),0,0,0,1,0,0,0
103,carrot,grams (g),0,0,0,1,0,0,0
104,carrot,grams (g),0,0,0,1,0,0,0
105,carrot,grams (g),0,0,0,1,0,0,0
106,carrot,grams (g),0,0,0,1,0,0,0
107,carrot,grams (g),0,0,0,1,0,0,0
108,carrot,grams (g),0,0,0,1,0,0,0
109,carrot,grams (g),0,0,0,1,0,0,0
110,carrot,grams (g),0,0,0,1,0,0,0
111,carrot,grams (g),0,0,0,1,0,0,0
112,chicken,grams (g),0,0,0,1,0,0,0
113,chicken,grams (g),0,0,0,1,0,0,0
114,chicken,grams (g),0,0,0,1,0,0,0
115,chicken,grams (g),0,0,0,1,0,0,0
116,chicken,grams (g),0,0,0,1,0,0,0
117,chicken,grams (g),0,0,0,1,0,0,0
118,chicken,grams (g),0,0,0,1,0,0,0
119,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
120,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
121,chicken,grams (g),0,0,0,1,0,0,0
122,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
123,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
124,chicken,grams (g),0,0,0,1,0,0,0
125,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
126,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
127,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
128,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
129,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
130,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
131,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
132,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
133,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
134,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
135,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
136,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
137,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
138,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
139,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),0,0,0,1,0,0,1
140,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),0,0,0,1,0,0,1
141,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
142,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
143,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
144,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
145,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
146,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
147,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
148,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
149,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
150,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
151,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
152,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
153,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
154,loaf bread,grams (g),0,0,0,1,0,0,0
155,loaf bread,grams (g),0,0,0,1,0,0,0
156,loaf bread,grams (g),0,0,0,1,0,0,0
157,loaf bread,grams (g),0,0,0,1,0,0,0
158,loaf bread,grams (g),0,0,0,1,0,0,0
159,loaf bread,grams (g),0,0,0,1,0,0,0
160,loaf bread,grams (g),0,0,0,1,0,0,0
161,loaf bread,grams (g),0,0,0,1,0,0,0
162,loaf bread,grams (g),0,0,0,1,0,0,0
163,loaf bread,grams (g),0,0,0,1,0,0,0
164,loaf bread,grams (g),0,0,0,1,0,0,0
165,mango,grams (g),0,0,0,1,0,0,0
166,mango,grams (g),0,0,0,1,0,0,0
167,mango,grams (g),0,0,0,1,0,0,0
168,mango,grams (g),0,0,0,1,0,0,0
169,mango,grams (g),0,0,0,1,0,0,0
170,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
171,cabbage,grams (g),0,0,0,1,0,0,0
172,cabbage,grams (g),0,0,0,1,0,0,0
173,cabbage,grams (g),0,0,0,1,0,0,0
174,cabbage,grams (g),0,0,0,1,0,0,0
175,cabbage,grams (g),0,0,0,1,0,0,0
176,cabbage,grams (g),0,0,0,1,0,0,0
177,cabbage,grams (g),0,0,0,1,0,0,0
178,cabbage,grams (g),0,0,0,1,0,0,0
179,cabbage,grams (g),0,0,0,1,0,0,0
180,cabbage,grams (g),0,0,0,1,0,0,0
181,cabbage,grams (g),0,0,0,1,0,0,0
182,cabbage,grams (g),0,0,0,1,0,0,0
183,cabbage,grams (g),0,0,0,1,0,0,0
184,cabbage,grams (g),0,0,0,1,0,0,0
185,cabbage,grams (g),0,0,0,1,0,0,0
186,cabbage,grams (g),0,0,0,1,0,0,0
187,cabbage,grams (g),0,0,0,1,0,0,0
188,cabbage,grams (g),0,0,0,1,0,0,0
189,cabbage,grams (g),0,0,0,1,0,0,0
190,cabbage,grams (g),0,0,0,1,0,0,0
191,cabbage,grams (g),0,0,0,1,0,0,0
192,cabbage,grams (g),0,0,0,1,0,0,0
193,cabbage,grams (g),0,0,0,1,0,0,0
194,camote tops,grams (g),0,0,0,1,0,0,0
195,camote tops,grams (g),0,0,0,1,0,0,0
196,camote tops,grams (g),0,0,0,1,0,0,0
197,carrot,grams (g),0,0,0,1,0,0,0
198,carrot,grams (g),0,0,0,1,0,0,0
199,carrot,grams (g),0,0,0,1,0,0,0
200,carrot,grams (g),0,0,0,1,0,0,0
201,carrot,grams (g),0,0,0,1,0,0,0
202,carrot,grams (g),0,0,0,1,0,0,0
203,carrot,grams (g),0,0,0,1,0,0,0
204,carrot,grams (g),0,0,0,1,0,0,0
205,carrot,grams (g),0,0,0,1,0,0,0
206,carrot,grams (g),0,0,0,1,0,0,0
207,carrot,grams (g),0,0,0,1,0,0,0
208,carrot,grams (g),0,0,0,1,0,0,0
209,carrot,grams (g),0,0,0,1,0,0,0
210,carrot,grams (g),0,0,0,1,0,0,0
211,carrot,grams (g),0,0,0,1,0,0,0
212,chicken,grams (g),0,0,0,1,0,0,0
213,chicken,grams (g),0,0,0,1,0,0,0
214,chicken,grams (g),0,0,0,1,0,0,0
215,chicken,grams (g),0,0,0,1,0,0,0
216,chicken,grams (g),0,0,0,1,0,0,0
217,chicken,grams (g),0,0,0,1,0,0,0
218,chicken,grams (g),0,0,0,1,0,0,0
219,chicken,grams (g),0,0,0,1,0,0,0
220,chicken,grams (g),0,0,0,1,0,0,0
221,chicken,grams (g),0,0,0,1,0,0,0
222,chicken,grams (g),0,0,0,1,0,0,0
223,chicken,grams (g),0,0,0,1,0,0,0
224,chicken,grams (g),0,0,0,1,0,0,0
225,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
226,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
227,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
228,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
229,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
230,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
231,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
232,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
233,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
234,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
235,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
236,fresh fish,grams (g),0,0,0,1,0,0,0
237,fresh fish,grams (g),0,0,0,1,0,0,0
238,fresh fish,grams (g),0,0,0,1,0,0,0
239,fresh fish,grams (g),0,0,0,1,0,0,0
240,fresh fish,grams (g),0,0,0,1,0,0,0
241,fresh fish,grams (g),0,0,0,1,0,0,0
242,fresh fish,grams (g),0,0,0,1,0,0,0
243,fresh fish,grams (g),0,0,0,1,0,0,0
244,fresh fish,grams (g),0,0,0,1,0,0,0
245,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),0,0,0,0,1,0,1
246,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),0,0,0,0,1,0,1
247,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),0,0,0,0,1,0,1
248,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),0,0,0,0,1,0,1
249,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),0,0,0,0,1,0,1
250,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),0,0,0,0,1,0,1
251,"liquor (e.g, whisky, coconut wine)",Litres (L),0,0,0,0,1,1,0
252,"liquor (e.g, whisky, coconut wine)",Litres (L),0,0,0,0,1,1,0
253,"liquor (e.g, whisky, coconut wine)",Litres (L),0,0,0,0,1,1,0
254,"liquor (e.g, whisky, coconut wine)",Litres (L),0,0,0,0,1,1,0
255,"liquor (e.g, whisky, coconut wine)",Litres (L),0,0,0,0,1,1,0
256,"liquor (e.g, whisky, coconut wine)",Litres (L),0,0,0,0,1,1,0
257,"liquor (e.g, whisky, coconut wine)",Litres (L),0,0,0,0,1,1,0
258,"liquor (e.g, whisky, coconut wine)",Litres (L),0,0,0,0,1,1,0
259,loaf bread,grams (g),0,0,0,1,0,0,0
260,loaf bread,grams (g),0,0,0,1,0,0,0
261,loaf bread,grams (g),0,0,0,1,0,0,0
262,loaf bread,grams (g),0,0,0,1,0,0,0
263,loaf bread,grams (g),0,0,0,1,0,0,0
264,loaf bread,grams (g),0,0,0,1,0,0,0
265,loaf bread,grams (g),0,0,0,1,0,0,0
266,loaf bread,grams (g),0,0,0,1,0,0,0
267,mango,grams (g),0,0,0,1,0,0,0
268,mango,grams (g),0,0,0,1,0,0,0
269,mango,grams (g),0,0,0,1,0,0,0
270,mango,grams (g),0,0,0,1,0,0,0
271,mango,grams (g),0,0,0,1,0,0,0
272,mango,grams (g),0,0,0,1,0,0,0
273,mango,grams (g),0,0,0,1,0,0,0
274,mango,grams (g),0,0,0,1,0,0,0
275,mango,grams (g),0,0,0,1,0,0,0
276,mango,grams (g),0,0,0,1,0,0,0
277,mango,grams (g),0,0,0,1,0,0,0
278,mango,grams (g),0,0,0,1,0,0,0
279,mango,grams (g),0,0,0,1,0,0,0
280,mango,grams (g),0,0,0,1,0,0,0
281,mango,grams (g),0,0,0,1,0,0,0
282,"prawns, lobster, shrimp",grams (g),0,0,0,1,0,0,0
283,"prawns, lobster, shrimp",grams (g),0,0,0,1,0,0,0
284,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
285,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
286,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
287,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
288,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
289,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
290,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
291,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
292,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
293,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
294,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
295,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
296,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
297,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
298,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
299,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
300,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
301,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
302,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
303,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
304,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
305,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
306,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
311,cabbage,grams (g),0,0,0,1,0,0,0
312,cabbage,Kilograms (Kgs),0,0,0,1,0,0,0
313,cabbage,grams (g),0,0,0,1,0,0,0
314,cabbage,grams (g),0,0,0,1,0,0,0
315,cabbage,Kilograms (Kgs),0,0,0,1,0,0,0
316,cabbage,grams (g),0,0,0,1,0,0,0
317,cabbage,grams (g),0,0,0,1,0,0,0
318,cabbage,grams (g),0,0,0,1,0,0,0
319,cabbage,grams (g),0,0,0,1,0,0,0
320,cabbage,grams (g),0,0,0,1,0,0,0
321,cabbage,grams (g),0,0,0,1,0,0,0
322,cabbage,grams (g),0,0,0,1,0,0,0
323,cabbage,grams (g),0,0,0,1,0,0,0
324,cabbage,grams (g),0,0,0,1,0,0,0
325,cabbage,grams (g),0,0,0,1,0,0,0
326,cabbage,grams (g),0,0,0,1,0,0,0
327,camote tops,Kilograms (Kgs),0,0,0,1,0,0,0
328,camote tops,grams (g),0,0,0,1,0,0,0
329,camote,grams (g),0,0,0,1,0,0,0
330,camote,grams (g),0,0,0,1,0,0,0
331,camote,grams (g),0,0,0,1,0,0,0
332,camote,grams (g),0,0,0,1,0,0,0
333,camote,grams (g),0,0,0,1,0,0,0
334,camote,grams (g),0,0,0,1,0,0,0
335,camote,grams (g),0,0,0,1,0,0,0
336,camote,grams (g),0,0,0,1,0,0,0
337,carrot,grams (g),0,0,0,1,0,0,0
338,carrot,grams (g),0,0,0,1,0,0,0
339,carrot,grams (g),0,0,0,1,0,0,0
340,carrot,grams (g),0,0,0,1,0,0,0
341,carrot,grams (g),0,0,0,1,0,0,0
342,carrot,grams (g),0,0,0,1,0,0,0
343,carrot,grams (g),0,0,0,1,0,0,0
344,carrot,grams (g),0,0,0,1,0,0,0
345,carrot,grams (g),0,0,0,1,0,0,0
346,carrot,grams (g),0,0,0,1,0,0,0
347,carrot,grams (g),0,0,0,1,0,0,0
348,carrot,grams (g),0,0,0,1,0,0,0
349,carrot,grams (g),0,0,0,1,0,0,0
350,chicken,grams (g),0,0,0,1,0,0,0
351,chicken,grams (g),0,0,0,1,0,0,0
352,chicken,grams (g),0,0,0,1,0,0,0
353,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
354,chicken,grams (g),0,0,0,1,0,0,0
355,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
356,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
357,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
358,chicken,grams (g),0,0,0,1,0,0,0
359,chicken,Kilograms (Kgs),0,0,0,1,0,0,0
360,"crackers, cookies, buiscuits, chips/curls",grams (g),0,0,0,1,0,0,0
361,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
362,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
363,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
364,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
365,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
366,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
367,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
368,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
369,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
370,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
371,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
372,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
373,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
374,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
375,"crackers, cookies, buiscuits, chips/curls",Litres (L),1,0,1,0,1,0,0
376,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
377,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
378,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
379,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
380,"crackers, cookies, buiscuits, chips/curls",Litres (L),1,0,1,0,1,0,0
381,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
382,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
383,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
384,"crackers, cookies, buiscuits, chips/curls",grams (g),1,0,0,1,0,0,0
385,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),0,0,0,1,0,0,1
386,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),0,0,0,1,0,0,1
387,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),0,0,0,1,0,0,1
388,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),0,0,0,1,0,0,1
389,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),0,0,0,1,0,0,1
390,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
391,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
392,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
393,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
394,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
395,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
396,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
397,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
398,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
399,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
400,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
401,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
402,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
403,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
404,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
405,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
406,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
407,"liquor (e.g, whisky, coconut wine)",grams (g),0,1,0,1,0,1,0
408,loaf bread,grams (g),0,0,0,1,0,0,0
409,loaf bread,grams (g),0,0,0,1,0,0,0
410,loaf bread,grams (g),0,0,0,1,0,0,0
411,loaf bread,grams (g),0,0,0,1,0,0,0
412,loaf bread,grams (g),0,0,0,1,0,0,0
413,loaf bread,grams (g),0,0,0,1,0,0,0
414,loaf bread,grams (g),0,0,0,1,0,0,0
415,loaf bread,grams (g),0,0,0,1,0,0,0
416,loaf bread,grams (g),0,0,0,1,0,0,0
417,loaf bread,grams (g),0,0,0,1,0,0,0
418,loaf bread,grams (g),0,0,0,1,0,0,0
419,loaf bread,grams (g),0,0,0,1,0,0,0
420,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
421,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
422,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
423,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),0,0,0,1,0,0,0
