id,pull_item,rawtick,dim,raw_weight,corrected_weight,judgement,magchg,dimchg,trivial,nopub,snap_rule
32,"crackers, cookies, buiscuits, chips/curls",grams (g),g,250,250,0,0,0,1,0,log10 median
33,"crackers, cookies, buiscuits, chips/curls",grams (g),g,220,220,0,0,0,1,0,log10 median
34,"crackers, cookies, buiscuits, chips/curls",grams (g),g,320,320,0,0,0,1,0,log10 median
35,fresh fish,grams (g),g,.094999999,95,1,1,0,0,0,log10 median
36,fresh fish,grams (g),g,.23999999,240,1,1,0,0,0,log10 median
37,fresh fish,grams (g),g,.094999999,95,1,1,0,0,0,log10 median
38,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),g,60,60,0,0,0,1,0,log10 median
39,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),g,50,50,0,0,0,1,0,log10 median
40,"liquor (e.g, whisky, coconut wine)",grams (g),mL,375,375,1,0,1,0,0,log10 median
41,"liquor (e.g, whisky, coconut wine)",grams (g),mL,375,375,1,0,1,0,0,log10 median
42,"liquor (e.g, whisky, coconut wine)",grams (g),mL,375,375,1,0,1,0,0,log10 median
43,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
44,"liquor (e.g, whisky, coconut wine)",grams (g),mL,750,750,1,0,1,0,0,log10 median
45,"liquor (e.g, whisky, coconut wine)",grams (g),mL,750,750,1,0,1,0,0,log10 median
46,"liquor (e.g, whisky, coconut wine)",grams (g),mL,750,750,1,0,1,0,0,log10 median
47,loaf bread,grams (g),g,640,640,0,0,0,1,0,log10 median
48,loaf bread,grams (g),g,640,640,0,0,0,1,0,log10 median
49,loaf bread,grams (g),g,640,640,0,0,0,1,0,log10 median
50,loaf bread,grams (g),g,640,640,0,0,0,1,0,log10 median
51,loaf bread,grams (g),g,360,360,0,0,0,1,0,log10 median
52,loaf bread,grams (g),g,350,350,0,0,0,1,0,log10 median
53,loaf bread,grams (g),g,400,400,0,0,0,1,0,log10 median
54,loaf bread,grams (g),g,450,450,0,0,0,1,0,log10 median
55,loaf bread,grams (g),g,450,450,0,0,0,1,0,log10 median
56,loaf bread,grams (g),g,450,450,0,0,0,1,0,log10 median
57,loaf bread,grams (g),g,450,450,0,0,0,1,0,log10 median
58,pork,grams (g),g,.16,160,1,1,0,0,0,block governs
59,"prawns, lobster, shrimp",grams (g),g,.18000001,180,1,1,0,0,0,log10 median
60,"prawns, lobster, shrimp",grams (g),g,.13,130,1,1,0,0,0,log10 median
61,"prawns, lobster, shrimp",grams (g),g,.13500001,135,1,1,0,0,0,log10 median
62,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,.064999998,65,1,1,0,0,0,log10 median
63,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,.07,70,1,1,0,0,0,log10 median
64,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,.07,70,1,1,0,0,0,log10 median
65,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,230,230,0,0,0,1,0,log10 median
66,"preserved or processed meat (tocino, tapa, longaniza, etc)",Kilograms (Kgs),g,1,1000,0,0,0,1,0,log10 median
67,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,360,360,0,0,0,1,0,log10 median
68,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,250,250,0,0,0,1,0,log10 median
69,cabbage,grams (g),g,645,645,0,0,0,1,0,log10 median
70,cabbage,Kilograms (Kgs),g,1.175,1175,0,0,0,1,0,log10 median
71,cabbage,grams (g),g,.5,500,1,1,0,0,0,log10 median
72,cabbage,grams (g),g,.70999998,710,1,1,0,0,0,log10 median
73,cabbage,grams (g),g,320,320,0,0,0,1,0,log10 median
74,cabbage,grams (g),g,665,665,0,0,0,1,0,log10 median
75,cabbage,Kilograms (Kgs),g,1.465,1465,0,0,0,1,0,log10 median
76,cabbage,grams (g),g,.36000001,360,1,1,0,0,0,log10 median
77,cabbage,grams (g),g,.75999999,760,1,1,0,0,0,log10 median
78,cabbage,grams (g),g,.27500001,275,1,1,0,0,0,log10 median
79,cabbage,grams (g),g,.79500002,795,1,1,0,0,0,log10 median
80,cabbage,grams (g),g,725,725,0,0,0,1,0,log10 median
81,cabbage,Kilograms (Kgs),g,1.08,1080,0,0,0,1,0,log10 median
82,cabbage,grams (g),g,.33000001,330,1,1,0,0,0,log10 median
83,cabbage,grams (g),g,.85500002,855,1,1,0,0,0,log10 median
84,cabbage,grams (g),g,.47499999,475,1,1,0,0,0,log10 median
85,cabbage,grams (g),g,95,95,0,0,0,1,0,block governs
86,cabbage,Kilograms (Kgs),g,1.14,1140,0,0,0,1,0,log10 median
87,camote tops,Kilograms (Kgs),g,1.22,1220,0,0,0,1,0,log10 median
88,camote tops,Kilograms (Kgs),g,1.1799999,1180,0,0,0,1,0,log10 median
89,camote tops,Kilograms (Kgs),g,1.08,1080,0,0,0,1,0,log10 median
90,camote tops,grams (g),g,.33500001,335,1,1,0,0,0,log10 median
91,camote tops,grams (g),g,.79000002,790,1,1,0,0,0,log10 median
92,camote tops,Kilograms (Kgs),g,1.04,1040,0,0,0,1,0,log10 median
93,camote tops,Kilograms (Kgs),g,1.1849999,1185,0,0,0,1,0,log10 median
94,camote tops,Kilograms (Kgs),g,1.01,1010,0,0,0,1,0,log10 median
95,camote tops,Kilograms (Kgs),g,1.09,1090,0,0,0,1,0,log10 median
96,carrot,grams (g),g,.91000003,910,1,1,0,0,0,block governs
97,carrot,grams (g),g,.18000001,180,1,1,0,0,0,log10 median
98,carrot,grams (g),g,.085000001,85,1,1,0,0,0,log10 median
99,carrot,grams (g),g,.13,130,1,1,0,0,0,log10 median
100,carrot,grams (g),g,.13500001,135,1,1,0,0,0,log10 median
101,carrot,grams (g),g,.205,205,1,1,0,0,0,log10 median
102,carrot,grams (g),g,.105,105,1,1,0,0,0,log10 median
103,carrot,grams (g),g,.22,220,1,1,0,0,0,log10 median
104,carrot,grams (g),g,.155,155,1,1,0,0,0,log10 median
105,carrot,grams (g),g,.27500001,275,1,1,0,0,0,log10 median
106,carrot,grams (g),g,.085000001,85,1,1,0,0,0,log10 median
107,carrot,grams (g),g,.145,145,1,1,0,0,0,log10 median
108,carrot,grams (g),g,.2,200,1,1,0,0,0,log10 median
109,carrot,grams (g),g,.12,120,1,1,0,0,0,log10 median
110,carrot,grams (g),g,.205,205,1,1,0,0,0,log10 median
111,carrot,grams (g),g,.125,125,1,1,0,0,0,log10 median
112,chicken,grams (g),g,.685,685,1,1,0,0,0,log10 median
113,chicken,grams (g),g,.56,560,1,1,0,0,0,log10 median
114,chicken,grams (g),g,.38499999,385,1,1,0,0,0,log10 median
115,chicken,grams (g),g,.094999999,95,1,1,0,0,0,log10 median
116,chicken,grams (g),g,.215,215,1,1,0,0,0,log10 median
117,chicken,grams (g),g,.16,160,1,1,0,0,0,log10 median
118,chicken,grams (g),g,.27000001,270,1,1,0,0,0,log10 median
119,chicken,Kilograms (Kgs),g,1.765,1765,0,0,0,1,0,log10 median
120,chicken,Kilograms (Kgs),g,1.275,1275,0,0,0,1,0,log10 median
121,chicken,grams (g),g,1.42,1420,1,1,0,0,0,log10 median
122,chicken,Kilograms (Kgs),g,1.91,1910,0,0,0,1,0,log10 median
123,chicken,Kilograms (Kgs),g,1.27,1270,0,0,0,1,0,log10 median
124,chicken,grams (g),g,920,920,0,0,0,1,0,log10 median
125,chicken,Kilograms (Kgs),g,1.035,1035,0,0,0,1,0,log10 median
126,chicken,Kilograms (Kgs),g,1.15,1150,0,0,0,1,0,log10 median
127,chicken,Kilograms (Kgs),g,2.635,2635,0,0,0,1,0,log10 median
128,chicken,Kilograms (Kgs),g,1.12,1120,0,0,0,1,0,log10 median
129,"crackers, cookies, buiscuits, chips/curls",grams (g),g,28,28,0,0,0,1,0,log10 median
130,"crackers, cookies, buiscuits, chips/curls",grams (g),g,25,25,0,0,0,1,0,log10 median
131,"crackers, cookies, buiscuits, chips/curls",grams (g),g,32,32,0,0,0,1,0,log10 median
132,"crackers, cookies, buiscuits, chips/curls",grams (g),g,25,25,0,0,0,1,0,log10 median
133,"crackers, cookies, buiscuits, chips/curls",grams (g),g,30,30,0,0,0,1,0,log10 median
134,"crackers, cookies, buiscuits, chips/curls",grams (g),g,30,30,0,0,0,1,0,log10 median
135,"crackers, cookies, buiscuits, chips/curls",grams (g),g,330,330,0,0,0,1,0,log10 median
136,"crackers, cookies, buiscuits, chips/curls",grams (g),g,280,280,0,0,0,1,0,log10 median
137,"crackers, cookies, buiscuits, chips/curls",grams (g),g,320,320,0,0,0,1,0,log10 median
138,"crackers, cookies, buiscuits, chips/curls",grams (g),g,300,300,0,0,0,1,0,log10 median
139,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),g,.085000001,85,1,1,0,0,0,log10 median
140,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),g,60,60,0,0,0,1,0,log10 median
141,"liquor (e.g, whisky, coconut wine)",grams (g),mL,375,375,1,0,1,0,0,log10 median
142,"liquor (e.g, whisky, coconut wine)",grams (g),mL,375,375,1,0,1,0,0,log10 median
143,"liquor (e.g, whisky, coconut wine)",grams (g),mL,375,375,1,0,1,0,0,log10 median
144,"liquor (e.g, whisky, coconut wine)",grams (g),mL,375,375,1,0,1,0,0,log10 median
145,"liquor (e.g, whisky, coconut wine)",grams (g),mL,375,375,1,0,1,0,0,log10 median
146,"liquor (e.g, whisky, coconut wine)",grams (g),mL,375,375,1,0,1,0,0,log10 median
147,"liquor (e.g, whisky, coconut wine)",grams (g),mL,750,750,1,0,1,0,0,log10 median
148,"liquor (e.g, whisky, coconut wine)",grams (g),mL,750,750,1,0,1,0,0,log10 median
149,"liquor (e.g, whisky, coconut wine)",grams (g),mL,750,750,1,0,1,0,0,log10 median
150,"liquor (e.g, whisky, coconut wine)",grams (g),mL,750,750,1,0,1,0,0,log10 median
151,"liquor (e.g, whisky, coconut wine)",grams (g),mL,750,750,1,0,1,0,0,log10 median
152,"liquor (e.g, whisky, coconut wine)",grams (g),mL,750,750,1,0,1,0,0,log10 median
153,"liquor (e.g, whisky, coconut wine)",grams (g),mL,750,750,1,0,1,0,0,log10 median
154,loaf bread,grams (g),g,450,450,0,0,0,1,0,log10 median
155,loaf bread,grams (g),g,600,600,0,0,0,1,0,log10 median
156,loaf bread,grams (g),g,.48500001,485,1,1,0,0,0,log10 median
157,loaf bread,grams (g),g,450,450,0,0,0,1,0,log10 median
158,loaf bread,grams (g),g,450,450,0,0,0,1,0,log10 median
159,loaf bread,grams (g),g,640,640,0,0,0,1,0,log10 median
160,loaf bread,grams (g),g,640,640,0,0,0,1,0,log10 median
161,loaf bread,grams (g),g,700,700,0,0,0,1,0,log10 median
162,loaf bread,grams (g),g,640,640,0,0,0,1,0,log10 median
163,loaf bread,grams (g),g,360,360,0,0,0,1,0,log10 median
164,loaf bread,grams (g),g,360,360,0,0,0,1,0,log10 median
165,mango,grams (g),g,.25999999,260,1,1,0,0,0,log10 median
166,mango,grams (g),g,.34999999,350,1,1,0,0,0,log10 median
167,mango,grams (g),g,.155,155,1,1,0,0,0,log10 median
168,mango,grams (g),g,.215,215,1,1,0,0,0,log10 median
169,mango,grams (g),g,.34,340,1,1,0,0,0,log10 median
170,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,360,360,0,0,0,1,0,log10 median
171,cabbage,grams (g),g,755,755,0,0,0,1,0,log10 median
172,cabbage,grams (g),g,975,975,0,0,0,1,0,log10 median
173,cabbage,grams (g),g,1060,1060,0,0,0,1,0,log10 median
174,cabbage,grams (g),g,545,545,0,0,0,1,0,log10 median
175,cabbage,grams (g),g,720,720,0,0,0,1,0,log10 median
176,cabbage,grams (g),g,900,900,0,0,0,1,0,log10 median
177,cabbage,grams (g),g,1025,1025,0,0,0,1,0,log10 median
178,cabbage,grams (g),g,1080,1080,0,0,0,1,0,log10 median
179,cabbage,grams (g),g,530,530,0,0,0,1,0,log10 median
180,cabbage,grams (g),g,555,555,0,0,0,1,0,log10 median
181,cabbage,grams (g),g,660,660,0,0,0,1,0,log10 median
182,cabbage,grams (g),g,740,740,0,0,0,1,0,log10 median
183,cabbage,grams (g),g,945,945,0,0,0,1,0,log10 median
184,cabbage,grams (g),g,1335,1335,0,0,0,1,0,log10 median
185,cabbage,grams (g),g,595,595,0,0,0,1,0,log10 median
186,cabbage,grams (g),g,630,630,0,0,0,1,0,log10 median
187,cabbage,grams (g),g,1030,1030,0,0,0,1,0,log10 median
188,cabbage,grams (g),g,540,540,0,0,0,1,0,log10 median
189,cabbage,grams (g),g,645,645,0,0,0,1,0,log10 median
190,cabbage,grams (g),g,1075,1075,0,0,0,1,0,log10 median
191,cabbage,grams (g),g,460,460,0,0,0,1,0,log10 median
192,cabbage,grams (g),g,770,770,0,0,0,1,0,log10 median
193,cabbage,grams (g),g,965,965,0,0,0,1,0,log10 median
194,camote tops,grams (g),g,160,160,0,0,0,1,0,log10 median
195,camote tops,grams (g),g,205,205,0,0,0,1,0,log10 median
196,camote tops,grams (g),g,135,135,0,0,0,1,0,log10 median
197,carrot,grams (g),g,105,105,0,0,0,1,0,log10 median
198,carrot,grams (g),g,205,205,0,0,0,1,0,log10 median
199,carrot,grams (g),g,310,310,0,0,0,1,0,log10 median
200,carrot,grams (g),g,125,125,0,0,0,1,0,log10 median
201,carrot,grams (g),g,145,145,0,0,0,1,0,log10 median
202,carrot,grams (g),g,175,175,0,0,0,1,0,log10 median
203,carrot,grams (g),g,100,100,0,0,0,1,0,log10 median
204,carrot,grams (g),g,140,140,0,0,0,1,0,log10 median
205,carrot,grams (g),g,240,240,0,0,0,1,0,log10 median
206,carrot,grams (g),g,165,165,0,0,0,1,0,log10 median
207,carrot,grams (g),g,185,185,0,0,0,1,0,log10 median
208,carrot,grams (g),g,240,240,0,0,0,1,0,log10 median
209,carrot,grams (g),g,175,175,0,0,0,1,0,log10 median
210,carrot,grams (g),g,190,190,0,0,0,1,0,log10 median
211,carrot,grams (g),g,220,220,0,0,0,1,0,log10 median
212,chicken,grams (g),g,90,90,0,0,0,1,0,log10 median
213,chicken,grams (g),g,985,985,0,0,0,1,0,log10 median
214,chicken,grams (g),g,310,310,0,0,0,1,0,log10 median
215,chicken,grams (g),g,530,530,0,0,0,1,0,log10 median
216,chicken,grams (g),g,275,275,0,0,0,1,0,log10 median
217,chicken,grams (g),g,330,330,0,0,0,1,0,log10 median
218,chicken,grams (g),g,620,620,0,0,0,1,0,log10 median
219,chicken,grams (g),g,1415,1415,0,0,0,1,0,log10 median
220,chicken,grams (g),g,1800,1800,0,0,0,1,0,log10 median
221,chicken,grams (g),g,1200,1200,0,0,0,1,0,log10 median
222,chicken,grams (g),g,1360,1360,0,0,0,1,0,log10 median
223,chicken,grams (g),g,2120,2120,0,0,0,1,0,log10 median
224,chicken,grams (g),g,1970,1970,0,0,0,1,0,log10 median
225,"crackers, cookies, buiscuits, chips/curls",grams (g),g,48,48,0,0,0,1,0,log10 median
226,"crackers, cookies, buiscuits, chips/curls",grams (g),g,38,38,0,0,0,1,0,log10 median
227,"crackers, cookies, buiscuits, chips/curls",grams (g),g,55,55,0,0,0,1,0,log10 median
228,"crackers, cookies, buiscuits, chips/curls",grams (g),g,85,85,0,0,0,1,0,log10 median
229,"crackers, cookies, buiscuits, chips/curls",grams (g),g,34,34,0,0,0,1,0,log10 median
230,"crackers, cookies, buiscuits, chips/curls",grams (g),g,300,300,0,0,0,1,0,log10 median
231,"crackers, cookies, buiscuits, chips/curls",grams (g),g,420,420,0,0,0,1,0,block governs
232,"crackers, cookies, buiscuits, chips/curls",grams (g),g,250,250,0,0,0,1,0,log10 median
233,"crackers, cookies, buiscuits, chips/curls",grams (g),g,300,300,0,0,0,1,0,log10 median
234,"crackers, cookies, buiscuits, chips/curls",grams (g),g,270,270,0,0,0,1,0,log10 median
235,"crackers, cookies, buiscuits, chips/curls",grams (g),g,280,280,0,0,0,1,0,log10 median
236,fresh fish,grams (g),g,105,105,0,0,0,1,0,log10 median
237,fresh fish,grams (g),g,130,130,0,0,0,1,0,log10 median
238,fresh fish,grams (g),g,175,175,0,0,0,1,0,log10 median
239,fresh fish,grams (g),g,155,155,0,0,0,1,0,log10 median
240,fresh fish,grams (g),g,345,345,0,0,0,1,0,log10 median
241,fresh fish,grams (g),g,370,370,0,0,0,1,0,log10 median
242,fresh fish,grams (g),g,45,45,0,0,0,1,0,block governs
243,fresh fish,grams (g),g,70,70,0,0,0,1,0,block governs
244,fresh fish,grams (g),g,130,130,0,0,0,1,0,log10 median
245,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.11,110,0,0,0,1,0,log10 median
246,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.11,110,0,0,0,1,0,log10 median
247,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.1,100,0,0,0,1,0,log10 median
248,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.12,120,0,0,0,1,0,log10 median
249,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.69999999,700,0,0,0,1,0,block governs
250,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.60000002,600,0,0,0,1,0,block governs
251,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
252,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
253,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
254,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.34999999,350,0,0,0,1,0,log10 median
255,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.5,500,0,0,0,1,0,log10 median
256,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
257,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
258,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
259,loaf bread,grams (g),g,450,450,0,0,0,1,0,log10 median
260,loaf bread,grams (g),g,620,620,0,0,0,1,0,log10 median
261,loaf bread,grams (g),g,640,640,0,0,0,1,0,log10 median
262,loaf bread,grams (g),g,600,600,0,0,0,1,0,log10 median
263,loaf bread,grams (g),g,700,700,0,0,0,1,0,log10 median
264,loaf bread,grams (g),g,620,620,0,0,0,1,0,log10 median
265,loaf bread,grams (g),g,300,300,0,0,0,1,0,log10 median
266,loaf bread,grams (g),g,360,360,0,0,0,1,0,log10 median
267,mango,grams (g),g,275,275,0,0,0,1,0,log10 median
268,mango,grams (g),g,300,300,0,0,0,1,0,log10 median
269,mango,grams (g),g,335,335,0,0,0,1,0,log10 median
270,mango,grams (g),g,230,230,0,0,0,1,0,log10 median
271,mango,grams (g),g,245,245,0,0,0,1,0,log10 median
272,mango,grams (g),g,250,250,0,0,0,1,0,log10 median
273,mango,grams (g),g,185,185,0,0,0,1,0,log10 median
274,mango,grams (g),g,245,245,0,0,0,1,0,log10 median
275,mango,grams (g),g,310,310,0,0,0,1,0,log10 median
276,mango,grams (g),g,230,230,0,0,0,1,0,log10 median
277,mango,grams (g),g,240,240,0,0,0,1,0,log10 median
278,mango,grams (g),g,245,245,0,0,0,1,0,log10 median
279,mango,grams (g),g,240,240,0,0,0,1,0,log10 median
280,mango,grams (g),g,260,260,0,0,0,1,0,log10 median
281,mango,grams (g),g,275,275,0,0,0,1,0,log10 median
282,"prawns, lobster, shrimp",grams (g),g,245,245,0,0,0,1,0,log10 median
283,"prawns, lobster, shrimp",grams (g),g,135,135,0,0,0,1,0,log10 median
284,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,45,45,0,0,0,1,0,log10 median
285,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,155,155,0,0,0,1,0,log10 median
286,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,155,155,0,0,0,1,0,log10 median
287,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,425,425,0,0,0,1,0,log10 median
288,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,108,108,0,0,0,1,0,log10 median
289,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,150,150,0,0,0,1,0,log10 median
290,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,250,250,0,0,0,1,0,log10 median
291,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,100,100,0,0,0,1,0,log10 median
292,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,155,155,0,0,0,1,0,log10 median
293,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,260,260,0,0,0,1,0,log10 median
294,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,100,100,0,0,0,1,0,log10 median
295,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,150,150,0,0,0,1,0,log10 median
296,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,210,210,0,0,0,1,0,log10 median
297,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,95,95,0,0,0,1,0,log10 median
298,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,150,150,0,0,0,1,0,log10 median
299,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,210,210,0,0,0,1,0,log10 median
300,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,100,100,0,0,0,1,0,log10 median
301,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,150,150,0,0,0,1,0,log10 median
302,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,250,250,0,0,0,1,0,log10 median
303,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,360,360,0,0,0,1,0,log10 median
304,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,230,230,0,0,0,1,0,log10 median
305,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,250,250,0,0,0,1,0,log10 median
306,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,360,360,0,0,0,1,0,log10 median
311,cabbage,grams (g),g,620,620,0,0,0,1,0,log10 median
312,cabbage,Kilograms (Kgs),g,1.21,1210,0,0,0,1,0,log10 median
313,cabbage,grams (g),g,210,210,0,0,0,1,0,log10 median
314,cabbage,grams (g),g,790,790,0,0,0,1,0,log10 median
315,cabbage,Kilograms (Kgs),g,1.11,1110,0,0,0,1,0,log10 median
316,cabbage,grams (g),g,.375,375,1,1,0,0,0,log10 median
317,cabbage,grams (g),g,.625,625,1,1,0,0,0,log10 median
318,cabbage,grams (g),g,.86000001,860,1,1,0,0,0,log10 median
319,cabbage,grams (g),g,.38499999,385,1,1,0,0,0,log10 median
320,cabbage,grams (g),g,.79000002,790,1,1,0,0,0,log10 median
321,cabbage,grams (g),g,.53500003,535,1,1,0,0,0,log10 median
322,cabbage,grams (g),g,.94,940,1,1,0,0,0,log10 median
323,cabbage,grams (g),g,.35499999,355,1,1,0,0,0,log10 median
324,cabbage,grams (g),g,.25999999,260,1,1,0,0,0,log10 median
325,cabbage,grams (g),g,.235,235,1,1,0,0,0,log10 median
326,cabbage,grams (g),g,.19,190,1,1,0,0,0,log10 median
327,camote tops,Kilograms (Kgs),g,1.095,1095,0,0,0,1,0,log10 median
328,camote tops,grams (g),g,.69999999,700,1,1,0,0,0,log10 median
329,camote,grams (g),g,.1,100,1,1,0,0,0,log10 median
330,camote,grams (g),g,.059999999,60,1,1,0,0,0,log10 median
331,camote,grams (g),g,.1,100,1,1,0,0,0,log10 median
332,camote,grams (g),g,.085000001,85,1,1,0,0,0,log10 median
333,camote,grams (g),g,.18000001,180,1,1,0,0,0,log10 median
334,camote,grams (g),g,.050000001,50,1,1,0,0,0,log10 median
335,camote,grams (g),g,.13,130,1,1,0,0,0,log10 median
336,camote,grams (g),g,.115,115,1,1,0,0,0,log10 median
337,carrot,grams (g),g,.085000001,85,1,1,0,0,0,log10 median
338,carrot,grams (g),g,.085000001,85,1,1,0,0,0,log10 median
339,carrot,grams (g),g,.13,130,1,1,0,0,0,log10 median
340,carrot,grams (g),g,.23999999,240,1,1,0,0,0,log10 median
341,carrot,grams (g),g,.085000001,85,1,1,0,0,0,log10 median
342,carrot,grams (g),g,.12,120,1,1,0,0,0,log10 median
343,carrot,grams (g),g,.205,205,1,1,0,0,0,log10 median
344,carrot,grams (g),g,.090000004,90,1,1,0,0,0,log10 median
345,carrot,grams (g),g,.235,235,1,1,0,0,0,log10 median
346,carrot,grams (g),g,.105,105,1,1,0,0,0,log10 median
347,carrot,grams (g),g,.155,155,1,1,0,0,0,log10 median
348,carrot,grams (g),g,.31999999,320,1,1,0,0,0,log10 median
349,carrot,grams (g),g,.145,145,1,1,0,0,0,log10 median
350,chicken,grams (g),g,.60000002,600,1,1,0,0,0,log10 median
351,chicken,grams (g),g,.625,625,1,1,0,0,0,log10 median
