id,check,tier,priority,reason,has_photo,filename,photo_path,obs_type,pull_province,pull_municipal_city,market_name,store_stall_name,vendor_id,pull_item,pull_nsu_unit,rawtick,raw_weight,dim,corrected_weight,snap_rule,flat_group,nobs,nven,is_rep,queue_flag,queue_tier,read_model,read_human,needs_reading
90,2,must,3,C2 magnitude only -- decimal moved,1,1778204839924.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778204839924.jpg,conventional_nsu,AKLAN,BANGA,Libas Banga Roadside,Richard Store,BO1MDJW3,Camote tops,Bundle,grams (g),.33500001,g,335,log10 median,,,,,,,0,0,1
91,2,must,3,C2 magnitude only -- decimal moved,1,1778122431459.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778122431459.jpg,conventional_nsu,AKLAN,BANGA,Libas Banga Talipapa,Lyre Variety Store,NOC31PB8,Camote tops,Bundle,grams (g),.79000002,g,790,log10 median,,,,,,,0,0,1
96,2,must,3,C2 magnitude only -- decimal moved,1,1778122218230.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778122218230.jpg,medium_size,AKLAN,BANGA,Bacan Banga Talipapa,Lyre Variety Store,2J9XWORY,Carrot,Binilog,grams (g),.91000003,g,910,block governs,,,,,,,0,0,1
97,2,must,3,C2 magnitude only -- decimal moved,1,1778122283095.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778122283095.jpg,small_size,AKLAN,BANGA,Libas Banga Talipapa,Lyre Variety Store,8647D7PJ,Carrot,Binilog,grams (g),.18000001,g,180,log10 median,,,,,,,0,0,1
98,2,must,3,C2 magnitude only -- decimal moved,1,1778121094914.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778121094914.jpg,small_size,AKLAN,BANGA,Libas Banga Talipapa,Ashlei Meat and Vegetable Trading,B4X1QL09,Carrot,Binilog,grams (g),.085000001,g,85,log10 median,,,,,,,0,0,1
99,2,must,3,C2 magnitude only -- decimal moved,1,1778121112306.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778121112306.jpg,medium_size,AKLAN,BANGA,Libas Banga Talipapa,Ashlei Meat and Vegetable Trading,B4X1QL09,Carrot,Binilog,grams (g),.13,g,130,log10 median,,,,,,,0,0,1
100,2,must,3,C2 magnitude only -- decimal moved,1,1778206320808.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778206320808.jpg,small_size,AKLAN,BANGA,Libas Banga Roadside,Dionesio Store,GFFE25K0,Carrot,Binilog,grams (g),.13500001,g,135,log10 median,,,,,,,0,0,1
101,2,must,3,C2 magnitude only -- decimal moved,1,1778206343210.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778206343210.jpg,medium_size,AKLAN,BANGA,Libas Banga Roadside,Dionesio Store,GFFE25K0,Carrot,Binilog,grams (g),.205,g,205,log10 median,,,,,,,0,0,1
102,2,must,3,C2 magnitude only -- decimal moved,1,1778118972103.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778118972103.jpg,small_size,AKLAN,BANGA,Banga Public Market,Geniefe redecio store,O0RU4CRR,Carrot,Binilog,grams (g),.105,g,105,log10 median,,,,,,,0,0,1
103,2,must,3,C2 magnitude only -- decimal moved,1,1778118987054.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778118987054.jpg,medium_size,AKLAN,BANGA,Banga Public Market,Geniefe redecio store,O0RU4CRR,Carrot,Binilog,grams (g),.22,g,220,log10 median,,,,,,,0,0,1
104,2,must,3,C2 magnitude only -- decimal moved,1,1778204764576.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778204764576.jpg,small_size,AKLAN,BANGA,Libas Banga Roadside,Richard Store,PPFED4ZH,Carrot,Binilog,grams (g),.155,g,155,log10 median,,,,,,,0,0,1
105,2,must,3,C2 magnitude only -- decimal moved,1,1778204787227.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778204787227.jpg,medium_size,AKLAN,BANGA,Libas Banga Roadside,Richard Store,PPFED4ZH,Carrot,Binilog,grams (g),.27500001,g,275,log10 median,,,,,,,0,0,1
106,2,must,3,C2 magnitude only -- decimal moved,1,1778118596815.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778118596815.jpg,small_size,AKLAN,BANGA,Banga Public Market,Androdel Vegetable Stand,Q7NJK7D0,Carrot,Binilog,grams (g),.085000001,g,85,log10 median,,,,,,,0,0,1
107,2,must,3,C2 magnitude only -- decimal moved,1,1778118609675.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778118609675.jpg,medium_size,AKLAN,BANGA,Banga Public Market,Androdel Vegetable Stand,Q7NJK7D0,Carrot,Binilog,grams (g),.145,g,145,log10 median,,,,,,,0,0,1
108,2,must,3,C2 magnitude only -- decimal moved,1,1778118622131.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778118622131.jpg,large_size,AKLAN,BANGA,Banga Public Market,Androdel Vegetable Stand,Q7NJK7D0,Carrot,Binilog,grams (g),.2,g,200,log10 median,,,,,,,0,0,1
109,2,must,3,C2 magnitude only -- decimal moved,1,1778117223598.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778117223598.jpg,small_size,AKLAN,BANGA,Banga Public Market,Ruth Vegetable Store,UN0V18XQ,Carrot,Binilog,grams (g),.12,g,120,log10 median,,,,,,,0,0,1
110,2,must,3,C2 magnitude only -- decimal moved,1,1778117239723.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778117239723.jpg,medium_size,AKLAN,BANGA,Banga Public Market,Ruth Vegetable Store,UN0V18XQ,Carrot,Binilog,grams (g),.205,g,205,log10 median,,,,,,,1,1,0
111,2,must,3,C2 magnitude only -- decimal moved,1,1778121830667.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778121830667.jpg,small_size,AKLAN,BANGA,Libas Banga Talipapa,Kim Fruit and Vegetable Store,YG9LDYV5,Carrot,Binilog,grams (g),.125,g,125,log10 median,,,,,,,0,0,1
112,2,must,3,C2 magnitude only -- decimal moved,1,1778118221302.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778118221302.jpg,medium_size,AKLAN,BANGA,Banga Public Market,Jenny Meat Stand,685SLXF0,Chicken,Binilog,grams (g),.6850000000000001,g,685,log10 median,,,,,,,0,0,1
113,2,must,3,C2 magnitude only -- decimal moved,1,1778116935725.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778116935725.jpg,medium_size,AKLAN,BANGA,Banga Public Market,Marian Dressed Chicken,8O5DNTHH,Chicken,Binilog,grams (g),.5600000000000001,g,560,log10 median,,,,,,,0,0,1
114,2,must,3,C2 magnitude only -- decimal moved,1,1778211382116.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778211382116.jpg,small_size,AKLAN,BANGA,Libas Banga Roadside,Meryl's Meat Shop,P8JF9S5U,Chicken,Binilog,grams (g),.38499999,g,385,log10 median,,,,,,,0,0,1
115,2,must,3,C2 magnitude only -- decimal moved,1,1778125057244.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778125057244.jpg,small_size,AKLAN,BANGA,Jumarap Banga Roadside,Nervar Store,T535IY7Q,Chicken,Binilog,grams (g),.094999999,g,95,log10 median,,,,,,,0,0,1
116,2,must,3,C2 magnitude only -- decimal moved,1,1778117943738.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778117943738.jpg,small_size,AKLAN,BANGA,Banga Public Market,Rhea Meat Shop,WANAF9LO,Chicken,Binilog,grams (g),.215,g,215,log10 median,,,,,,,0,0,1
117,2,must,3,C2 magnitude only -- decimal moved,1,1778124728402.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778124728402.jpg,small_size,AKLAN,BANGA,Libas Banga Talipapa,Jofel Fish Stand,WKICAXTH,Chicken,Binilog,grams (g),.16,g,160,log10 median,,,,,,,0,0,1
118,2,must,3,C2 magnitude only -- decimal moved,1,1778210891441.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778210891441.jpg,small_size,AKLAN,BANGA,Libas Banga Roadside,Len Meat Stand,YO4X20Z5,Chicken,Binilog,grams (g),.27000001,g,270,log10 median,,,,,,,0,0,1
121,2,must,3,C2 magnitude only -- decimal moved,1,1778116807242.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778116807242.jpg,large_size,AKLAN,BANGA,Banga Public Market,Marian Dressed Chicken,34CF3XCB,Chicken,Whole (chicken),grams (g),1.42,g,1420,log10 median,,,,,,,0,0,1
139,2,must,3,C2 magnitude only -- decimal moved,1,1778205119842.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778205119842.jpg,small_size,AKLAN,BANGA,Libas Banga Roadside,Richard Store,U00T5K8V,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Binilog,grams (g),.085000001,g,85,log10 median,,,,,,,0,0,1
141,2,must,2,C2 dimension only -- tick overruled,1,1778201901035.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778201901035.jpg,medium_size,AKLAN,BANGA,Banga Public Market,Remelyn's Store,BV16TOKK,"Liquor (e.g, whisky, coconut wine)",Lapad,grams (g),375,mL,375,log10 median,,,,,,,0,0,1
142,2,must,2,C2 dimension only -- tick overruled,1,1778125537873.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778125537873.jpg,medium_size,AKLAN,BANGA,Libas Banga Roadside,I and L Sari Sari Store,FERBYJB2,"Liquor (e.g, whisky, coconut wine)",Lapad,grams (g),375,mL,375,log10 median,,,,,,,0,0,1
