id,check,tier,priority,reason,has_photo,filename,photo_path,obs_type,pull_province,pull_municipal_city,market_name,store_stall_name,vendor_id,pull_item,pull_nsu_unit,rawtick,raw_weight,dim,corrected_weight,snap_rule,flat_group,nobs,nven,is_rep,queue_flag,queue_tier
365,1,must,1,4B dual-ticked case,1,1777265619164.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777265619164.jpg,mp50_price,AKLAN,BURUANGA,Buruanga Public Market,Abby Variety Store,59EQHA1D,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
366,1,must,1,4B dual-ticked case,1,1777265670677.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777265670677.jpg,mp75_price,AKLAN,BURUANGA,Buruanga Public Market,Abby Variety Store,59EQHA1D,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
367,1,must,1,4B dual-ticked case,1,1777268451271.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777268451271.jpg,mp25_price,AKLAN,BURUANGA,Pasadero St.Poblacion Roadside,Alex Store,6231XDCI,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
368,1,must,1,4B dual-ticked case,1,1777268519092.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777268519092.jpg,mp50_price,AKLAN,BURUANGA,Pasadero St.Poblacion Roadside,Alex Store,6231XDCI,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
369,1,must,1,4B dual-ticked case,1,1777268567002.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777268567002.jpg,mp75_price,AKLAN,BURUANGA,Pasadero St.Poblacion Roadside,Alex Store,6231XDCI,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
370,1,must,1,4B dual-ticked case,1,1777353538719.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777353538719.jpg,mp25_price,AKLAN,BURUANGA,Pasadero St.Poblacion Roadside,Japis Store,6UL1PUWX,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
371,1,must,1,4B dual-ticked case,1,1777353590886.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777353590886.jpg,mp50_price,AKLAN,BURUANGA,Pasadero St.Poblacion Roadside,Japis Store,6UL1PUWX,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
372,1,must,1,4B dual-ticked case,1,1777353668351.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777353668351.jpg,mp75_price,AKLAN,BURUANGA,Pasadero St.Poblacion Roadside,Japis Store,6UL1PUWX,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
373,1,must,1,4B dual-ticked case,1,1777263980383.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777263980383.jpg,mp25_price,AKLAN,BURUANGA,Buruanga Public Market,Samantha Mae Store,9HQHDRIJ,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
374,1,must,1,4B dual-ticked case,1,1777264071366.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777264071366.jpg,mp50_price,AKLAN,BURUANGA,Buruanga Public Market,Samantha Mae Store,9HQHDRIJ,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
375,1,must,1,4B solid ticked as Litres,1,1777264173054.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777264173054.jpg,mp75_price,AKLAN,BURUANGA,Buruanga Public Market,Samantha Mae Store,9HQHDRIJ,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
375,1,must,1,4B dual-ticked case,1,1777264173054.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777264173054.jpg,mp75_price,AKLAN,BURUANGA,Buruanga Public Market,Samantha Mae Store,9HQHDRIJ,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
376,1,must,1,4B dual-ticked case,1,1777349069612.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777349069612.jpg,mp25_price,AKLAN,BURUANGA,Pasadero St.Poblacion Roadside,Aileen's Sari-Sari Store,HIACVBA1,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
377,1,must,1,4B dual-ticked case,1,1777349119131.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777349119131.jpg,mp50_price,AKLAN,BURUANGA,Pasadero St.Poblacion Roadside,Aileen's Sari-Sari Store,HIACVBA1,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
378,1,must,1,4B dual-ticked case,1,1777349143406.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777349143406.jpg,mp75_price,AKLAN,BURUANGA,Pasadero St.Poblacion Roadside,Aileen's Sari-Sari Store,HIACVBA1,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
379,1,must,1,4B dual-ticked case,1,1777345337232.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777345337232.jpg,mp25_price,AKLAN,BURUANGA,Alegria Buruanga Roadside,Chloe Cleo Store,MADQCOGZ,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
380,1,must,1,4B solid ticked as Litres,1,1777345381826.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777345381826.jpg,mp50_price,AKLAN,BURUANGA,Alegria Buruanga Roadside,Chloe Cleo Store,MADQCOGZ,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
380,1,must,1,4B dual-ticked case,1,1777345381826.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777345381826.jpg,mp50_price,AKLAN,BURUANGA,Alegria Buruanga Roadside,Chloe Cleo Store,MADQCOGZ,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
381,1,must,1,4B dual-ticked case,1,1777345409391.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777345409391.jpg,mp75_price,AKLAN,BURUANGA,Alegria Buruanga Roadside,Chloe Cleo Store,MADQCOGZ,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
382,1,must,1,4B dual-ticked case,1,1777347062393.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777347062393.jpg,mp25_price,AKLAN,BURUANGA,Brgy.Tigum Buruanga Talipapa,Quecon Convenient Store,ZV8PPOD6,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
383,1,must,1,4B dual-ticked case,1,1777347101481.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777347101481.jpg,mp50_price,AKLAN,BURUANGA,Brgy.Tigum Buruanga Talipapa,Quecon Convenient Store,ZV8PPOD6,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
384,1,must,1,4B dual-ticked case,1,1777347158989.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777347158989.jpg,mp75_price,AKLAN,BURUANGA,Brgy.Tigum Buruanga Talipapa,Quecon Convenient Store,ZV8PPOD6,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,,,,,,
390,1,must,1,"4A flat group: 3+ vendors, one value",1,1777268272993.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777268272993.jpg,medium_size,AKLAN,BURUANGA,Pasadero St.Poblacion Roadside,Alex Store,2HOE0HBX,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,96,8,8,1,,
399,1,must,1,"4A flat group: 3+ vendors, one value",1,1777263705919.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777263705919.jpg,large_size,AKLAN,BURUANGA,Buruanga Public Market,Samantha Mae Store,7J9LEHWZ,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,98,9,9,1,,
520,1,must,1,"4A flat group: 3+ vendors, one value",1,1777512241291.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777512241291.jpg,small_size,AKLAN,IBAJAY,"Purok 1 , Ibajay",Carolinca Store,M458SO7K,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Gamay nga Cup,,,,,,127,3,3,1,,
526,1,must,1,"4A flat group: 3+ vendors, one value",1,1777429293128.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777429293128.jpg,medium_size,AKLAN,IBAJAY,Ibajay Public Market,Magsangkay Store,2AL6P28N,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,128,6,6,1,,
526,1,must,1,4B dual-ticked case,1,1777429293128.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777429293128.jpg,medium_size,AKLAN,IBAJAY,Ibajay Public Market,Magsangkay Store,2AL6P28N,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,,,,,,
527,1,must,1,4B dual-ticked case,1,1777430421385.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777430421385.jpg,medium_size,AKLAN,IBAJAY,Ibajay Public Market,Mahilway Store,2QPC9JIA,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,,,,,,
528,1,must,1,4B dual-ticked case,1,1777507478559.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777507478559.jpg,medium_size,AKLAN,IBAJAY,"Purok 1 , Ibajay",Swerteanity store,6EYPDVJ2,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,,,,,,
529,1,must,1,4B dual-ticked case,1,1777511030776.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777511030776.jpg,medium_size,AKLAN,IBAJAY,"Ibajay, Purok 1",RRK Variety Store,SUGOLQ3X,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,,,,,,
530,1,must,1,4B dual-ticked case,1,1777509910415.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777509910415.jpg,medium_size,AKLAN,IBAJAY,"Purok 1 , Ibajay",Ishaan Variety Store,T7H3IJQ4,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,,,,,,
531,1,must,1,4B dual-ticked case,1,1777428403137.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777428403137.jpg,medium_size,AKLAN,IBAJAY,Ibajay Public Market,Amigos Variety store,UB1W89Q6,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,,,,,,
532,1,must,1,"4A flat group: 3+ vendors, one value",1,1777430492733.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777430492733.jpg,medium_size,AKLAN,IBAJAY,Ibajay Public Market,Mahilway Store,CHZUEOYR,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,130,5,5,1,,
567,1,must,1,"4A flat group: 3+ vendors, one value",1,1777425277081.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777425277081.jpg,medium_size,AKLAN,IBAJAY,Ibajay Public Market,Persal Chicken Station,LEICBWT7,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",Putos,,,,,,140,4,4,1,,
656,1,must,1,"4A flat group: 3+ vendors, one value",1,1777601949991.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777601949991.jpg,medium_size,AKLAN,LIBACAO,Libacao Public Market,Mary Vianney Sari-Sari Store,6B79EB2P,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,160,5,5,1,,
661,1,must,1,"4A flat group: 3+ vendors, one value",1,1777692974524.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777692974524.jpg,large_size,AKLAN,LIBACAO,Sitio Cabanbana Julita Libacao Roadside,Messiah Store,0XLSUYVQ,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,161,7,7,1,,
756,1,must,1,4B dual-ticked case,1,1777604530752.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777604530752.jpg,small_size,AKLAN,MADALAG,Madalag roadside,Sissums convenient store,9HRQAGAW,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Binilog,,,,,,,,,,,
757,1,must,1,4B dual-ticked case,1,1777600042760.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777600042760.jpg,small_size,AKLAN,MADALAG,Madalag roadside,Bread and butter,BVH5MV94,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Binilog,,,,,,,,,,,
758,1,must,1,4B dual-ticked case,1,1777600558478.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777600558478.jpg,small_size,AKLAN,MADALAG,Madalag roadside,Joachis grocery,S42RWFUR,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Binilog,,,,,,,,,,,
763,1,must,1,"4A flat group: 3+ vendors, one value",1,1777598645411.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777598645411.jpg,medium_size,AKLAN,MADALAG,Madalag public market,Marshas variety store,5BZEGX8P,"Liquor (e.g, whisky, coconut wine)",Lapad,,,,,,184,6,6,1,,
769,1,must,1,"4A flat group: 3+ vendors, one value",1,1777601249544.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777601249544.jpg,large_size,AKLAN,MADALAG,Madalag roadside,Jdy store,7WMRBLQM,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,185,5,5,1,,
871,1,must,1,"4A flat group: 3+ vendors, one value",1,1777515132487.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777515132487.jpg,medium_size,AKLAN,MAKATO,Makato Public Market,Tipan Store,26INS5PK,"Liquor (e.g, whisky, coconut wine)",Lapad,,,,,,206,9,9,1,,
1042,1,must,1,"4A flat group: 3+ vendors, one value",1,1777346656635.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777346656635.jpg,medium_size,AKLAN,MALAY,Brgy.union caticlan talipapa,Sadifa store,4JE7TC36,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,230,9,9,1,,
1068,1,must,1,"4A flat group: 3+ vendors, one value",1,1777352063028.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777352063028.jpg,small_size,AKLAN,MALAY,Caticlan roadside,Pergola store,B5L0S754,Loaf Bread,Small,,,,,,234,3,3,1,,
1176,1,must,1,"4A flat group: 3+ vendors, one value",1,1778036254499.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778036254499.jpg,medium_size,AKLAN,MALINAO,"Malinao,Public Market",Tres Niños Store,8K1K8BBS,"Liquor (e.g, whisky, coconut wine)",Lapad,,,,,,258,6,6,1,,
1182,1,must,1,4B dual-ticked case,1,1778034791656.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778034791656.jpg,small_size,AKLAN,MALINAO,"Malinao,Public Market",Yvana plastic ware and groceries Store,3A71MQHU,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
1182,1,must,1,"4A flat group: 3+ vendors, one value",1,1778034791656.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778034791656.jpg,small_size,AKLAN,MALINAO,"Malinao,Public Market",Yvana plastic ware and groceries Store,3A71MQHU,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,261,4,4,1,,
1183,1,must,1,4B dual-ticked case,1,1778034806216.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778034806216.jpg,medium_size,AKLAN,MALINAO,"Malinao,Public Market",Yvana plastic ware and groceries Store,3A71MQHU,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
1184,1,must,1,4B dual-ticked case,1,1778034821033.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778034821033.jpg,large_size,AKLAN,MALINAO,"Malinao,Public Market",Yvana plastic ware and groceries Store,3A71MQHU,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
1184,1,must,1,"4A flat group: 3+ vendors, one value",1,1778034821033.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778034821033.jpg,large_size,AKLAN,MALINAO,"Malinao,Public Market",Yvana plastic ware and groceries Store,3A71MQHU,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,259,4,4,1,,
1185,1,must,1,4B dual-ticked case,1,1778118874044.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778118874044.jpg,small_size,AKLAN,MALINAO,"Malinao, Poblacion",Princess and Irone Store,5N7MEE3D,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
1186,1,must,1,4B dual-ticked case,1,1778118893591.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778118893591.jpg,medium_size,AKLAN,MALINAO,"Malinao, Poblacion",Princess and Irone Store,5N7MEE3D,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
1187,1,must,1,4B dual-ticked case,1,1778119551341.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778119551341.jpg,medium_size,AKLAN,MALINAO,"Malinao, Poblacion",Jay and jeric Variety store,HH35JI4O,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
1188,1,must,1,4B dual-ticked case,1,1778119564613.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778119564613.jpg,large_size,AKLAN,MALINAO,"Malinao, Poblacion",Jay and jeric Variety store,HH35JI4O,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
1189,1,must,1,4B dual-ticked case,1,1778035428959.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778035428959.jpg,small_size,AKLAN,MALINAO,"Malinao,Public Market",J. Naig Mini mart,ITWDRTJH,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
1190,1,must,1,4B dual-ticked case,1,1778035448649.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778035448649.jpg,medium_size,AKLAN,MALINAO,"Malinao,Public Market",J. Naig Mini mart,ITWDRTJH,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
1191,1,must,1,4B dual-ticked case,1,1778035474063.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778035474063.jpg,large_size,AKLAN,MALINAO,"Malinao,Public Market",J. Naig Mini mart,ITWDRTJH,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,,,,,,
