id,check,priority,reason,filename,photo_path,pull_item,pull_nsu_unit,rawtick,raw_weight,dim,corrected_weight,snap_rule,stratum,seed,draw_tag
5817,1,1,"4A flat group: 3+ vendors, one value",1774408400798.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774408400798.jpg,Loaf Bread,Large,,,,,,C1 flat-group rep,,calib_v1
6725,1,1,"4A flat group: 3+ vendors, one value",1778212767551.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778212767551.jpg,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,C1 flat-group rep,,calib_v1
7051,1,1,"4A flat group: 3+ vendors, one value",1774057127341.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774057127341.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Gamay nga Cup,,,,,,C1 flat-group rep,,calib_v1
7487,1,1,"4A flat group: 3+ vendors, one value",1774070796560.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774070796560.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Gamay nga Cup,,,,,,C1 flat-group rep,,calib_v1
8027,1,1,"4A flat group: 3+ vendors, one value",1775885893833.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775885893833.jpg,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",Putos,,,,,,C1 flat-group rep,,calib_v1
8229,1,1,"4A flat group: 3+ vendors, one value",1773971621224.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773971621224.jpg,"Liquor (e.g, whisky, coconut wine)",Long-neck,,,,,,C1 flat-group rep,,calib_v1
8515,1,1,"4A flat group: 3+ vendors, one value",1775706189553.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775706189553.jpg,Loaf Bread,Tama-tama nga putos,,,,,,C1 flat-group rep,,calib_v1
8657,1,1,"4A flat group: 3+ vendors, one value",1773884341657.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773884341657.jpg,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,C1 flat-group rep,,calib_v1
8808,1,1,"4A flat group: 3+ vendors, one value",1775711210556.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775711210556.jpg,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,C1 flat-group rep,,calib_v1
10164,1,1,"4A flat group: 3+ vendors, one value",1774498316772.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774498316772.jpg,"Liquor (e.g, whisky, coconut wine)",Lipid / Lapad,,,,,,C1 flat-group rep,,calib_v1
4311,1,2,4B liquid ticked as a mass,1776219058341.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776219058341.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
4312,1,2,4B liquid ticked as a mass,1776219074931.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776219074931.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
4843,1,2,4B liquid ticked as a mass,1775879036042.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775879036042.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
5918,1,2,4B liquid ticked as a mass,1774492836874.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774492836874.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
7639,1,2,4B liquid ticked as a mass,1774487698787.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774487698787.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
7843,1,2,4B liquid ticked as a mass,1778834502177.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778834502177.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
8474,1,2,4B liquid ticked as a mass,1775701177913.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775701177913.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
9068,1,2,4B liquid ticked as a mass,1775610644371.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775610644371.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
9994,1,2,4B liquid ticked as a mass,1773731054952.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773731054952.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
9995,1,2,4B liquid ticked as a mass,1773730865630.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773730865630.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
9999,1,2,4B liquid ticked as a mass,1773730396940.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773730396940.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
10000,1,2,4B liquid ticked as a mass,1773730426188.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773730426188.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
10511,1,2,4B liquid ticked as a mass,1777864638308.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777864638308.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
10706,1,2,4B liquid ticked as a mass,1777607182345.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777607182345.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
10707,1,2,4B liquid ticked as a mass,1777606851141.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777606851141.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
10964,1,2,4B liquid ticked as a mass,1776828515542.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776828515542.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
10965,1,2,4B liquid ticked as a mass,1776822393755.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776822393755.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
11053,1,2,4B liquid ticked as a mass,1777266059884.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777266059884.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
11054,1,2,4B liquid ticked as a mass,1777266085340.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777266085340.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
11421,1,2,4B liquid ticked as a mass,1779243080681.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1779243080681.jpg,"Drinks at restaurant, hotel, caf̩, or kiosk",Pieces,,,,,,C1 liquid as mass,,calib_v1
375,1,1,4B solid ticked as Litres,1777264173054.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777264173054.jpg,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,C1 solid as Litres,,calib_v1
380,1,1,4B solid ticked as Litres,1777345381826.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777345381826.jpg,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,C1 solid as Litres,,calib_v1
1787,1,1,4B solid ticked as Litres,1776737620980.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776737620980.jpg,Loaf Bread,Large,,,,,,C1 solid as Litres,,calib_v1
2048,1,1,4B solid ticked as Litres,1776833924749.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776833924749.jpg,"Crackers, Cookies, Buiscuits, Chips/Curls",Bilog,,,,,,C1 solid as Litres,,calib_v1
3696,1,1,4B solid ticked as Litres,1775613983708.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775613983708.jpg,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",Bilog,,,,,,C1 solid as Litres,,calib_v1
4233,1,1,4B solid ticked as Litres,1779166704428.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1779166704428.jpg,Beer,Case,,,,,,C1 solid as Litres,,calib_v1
4234,1,1,4B solid ticked as Litres,1779166361997.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1779166361997.jpg,Beer,Case,,,,,,C1 solid as Litres,,calib_v1
5443,1,1,4B solid ticked as Litres,1774578054508.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774578054508.jpg,Chicken,Whole (chicken),,,,,,C1 solid as Litres,,calib_v1
5617,1,1,4B solid ticked as Litres,1774403634472.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774403634472.jpg,"Crackers, Cookies, Buiscuits, Chips/Curls",Putos,,,,,,C1 solid as Litres,,calib_v1
6405,1,1,4B solid ticked as Litres,1774407522026.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774407522026.jpg,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",Packs,,,,,,C1 solid as Litres,,calib_v1
6736,1,1,4B solid ticked as Litres,1775537032728.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775537032728.jpg,Loaf Bread,Dalagku nga Putos,,,,,,C1 solid as Litres,,calib_v1
7625,1,1,4B solid ticked as Litres,1774422255907.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774422255907.jpg,Chicken,Whole (chicken),,,,,,C1 solid as Litres,,calib_v1
8405,1,1,4B solid ticked as Litres,1775703101721.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775703101721.jpg,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",Packs,,,,,,C1 solid as Litres,,calib_v1
8882,1,1,4B solid ticked as Litres,1778288077794.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778288077794.jpg,Loaf Bread,Large,,,,,,C1 solid as Litres,,calib_v1
9668,1,1,4B solid ticked as Litres,1773897368621.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773897368621.jpg,Loaf Bread,Large,,,,,,C1 solid as Litres,,calib_v1
10610,1,1,4B solid ticked as Litres,1777336641605.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777336641605.jpg,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",Lata,,,,,,C1 solid as Litres,,calib_v1
11108,1,1,4B solid ticked as Litres,1777508424730.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1777508424730.jpg,"Preserved or Processed Meat (Tocino, Tapa, Longaniza, etc)",Putos,,,,,,C1 solid as Litres,,calib_v1
2535,2,3,C2 magnitude only -- decimal moved,1776665292134.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776665292134.jpg,Cabbage,Pack,grams (g),.27000001,g,270,block governs,C2 block governs,,calib_v1
3887,2,3,C2 magnitude only -- decimal moved,1775787569138.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775787569138.jpg,Carrot,Bilog,grams (g),.44999999,g,450,block governs,C2 block governs,,calib_v1
4196,2,3,C2 magnitude only -- decimal moved,1775875357769.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775875357769.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Bowl,grams (g),.56,g,560,block governs,C2 block governs,,calib_v1
4475,2,3,C2 magnitude only -- decimal moved,1776137969380.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776137969380.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Bilog,Litres (L),.0015,mL,150,block governs,C2 block governs,,calib_v1
4935,2,3,C2 magnitude only -- decimal moved,1775527493887.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775527493887.jpg,Fresh Fish,Putos(per pack),grams (g),.155,g,155,block governs,C2 block governs,,calib_v1
4936,2,3,C2 magnitude only -- decimal moved,1775611968774.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775611968774.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Bilog,grams (g),.44999999,g,450,block governs,C2 block governs,,calib_v1
5232,2,3,C2 magnitude only -- decimal moved,1776038087348.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1776038087348.jpg,Fresh Fish,Bilog,grams (g),.07,g,70,block governs,C2 block governs,,calib_v1
6476,2,3,C2 magnitude only -- decimal moved,1774051090174.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774051090174.jpg,Fresh Fish,Bilog,grams (g),.064999998,g,65,block governs,C2 block governs,,calib_v1
6498,2,3,C2 magnitude only -- decimal moved,1774321355224.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774321355224.jpg,"Ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Gmay nga Cup,grams (g),.54000002,g,540,block governs,C2 block governs,,calib_v1
7226,2,3,C2 magnitude only -- decimal moved,1778722214887.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1778722214887.jpg,Beef,Intestine,Kilograms (Kgs),2060,g,2060,block governs,C2 block governs,,calib_v1
7576,2,3,C2 magnitude only -- decimal moved,1774419159052.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774419159052.jpg,Cabbage,Binilog,grams (g),.105,g,105,block governs,C2 block governs,,calib_v1
7851,2,3,C2 magnitude only -- decimal moved,1773890829632.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1773890829632.jpg,Fresh Fish,Pack,grams (g),.76999998,g,770,block governs,C2 block governs,,calib_v1
8435,2,3,C2 magnitude only -- decimal moved,1775696058786.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1775696058786.jpg,Camote,Bilog,grams (g),.51999998,g,520,block governs,C2 block governs,,calib_v1
9349,2,3,C2 magnitude only -- decimal moved,1774058611117.jpg,C:\Users\uzj5150\Box\Philippines Panel\01 Panel\14 NSU Market Survey\NSU Market Survey Launch\data\pictures/1774058611117.jpg,"Crackers, Cookies, Buiscuits, Chips/Curls",Bilog,grams (g),.30000001,g,300,block governs,C2 block governs,,calib_v1
