"row id; same id space as hh_row in psps_households.dta","household identifier","PSPS item code","acquisition slot: 2 purchased, 3 own production, 4 gift","acquisition route: purchased, own_production, or gift","province","municipality","food item","unit as the household reported it","harmonized market-survey unit; blank where none applies","quantity reported, in the unit named by pull_nsu_unit","implied unit value, PHP per unit; all acquisition modes (A10)","grams (or mL) per unit for this household's row","q_h * cf_h; total grams for this row; missing if not converted","20a conversion path: 1 standard unit, 2 NSU, 3 not an NSU","how this row got its grams, or why it did not","1 = this row has a gram figure","0 matched or standard-unit; 1-3 a borrowed rung; missing if unconverted","1 = the household price ratio was clamped to t=5 (conv_path 2 only)","1 = no computable unit value on this row (e_h or q_h absent)","weighings behind cf_h, at the level used; missing off conv_path 2","1 = fewer than 3 weighings behind the estimate; treat as uncertain","hetero-blind: grams in one unit of this NSU, cell pooled across hetero-groups","hetero-blind: q_h * cf_h_blind -- the no-price-matching counterfactual","hetero-blind: dimension of cf_h_blind (1 = g, 2 = mL)","hetero-blind rung: 1 cell pooled, 2 province, 3 regional (never 0)","hetero-blind: how this row got its grams, or why it did not","hetero-blind: weighings behind cf_h_blind","1 = the hetero-blind ladder produced grams for this row"
13790,H002378,bev_1,2,purchased,CAPIZ,TAPAZ,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,1,7,18927.1,18927.1,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13791,H002378,bev_2,4,gift,CAPIZ,TAPAZ,beer,botelya (330ml),,4,37.5,330,1320,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13792,H002378,fish_1,2,purchased,CAPIZ,TAPAZ,fresh fish,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13793,H002378,grain_1,4,gift,CAPIZ,TAPAZ,rice,kilograms (kg),,3,60,1000,3000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13794,H002378,grain_2,4,gift,CAPIZ,TAPAZ,loaf bread,gagmay nga putos,small packs,1,50,400,400,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,33,0,400,400,1,2,blind: province pool,33,1
13795,H002378,veg_3,3,own_production,CAPIZ,TAPAZ,camote tops,bugkos,bugkos,1,20,186.6666666666667,186.6666666666667,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,280,280,1,1,blind: cell pooled,3,1
13796,H002379,bev_3,2,purchased,ANTIQUE,LIBERTAD,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,2,62,338.1818181818182,676.3636363636364,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,375,750,2,1,blind: cell pooled,4,1
13797,H002379,fish_1,2,purchased,ANTIQUE,LIBERTAD,fresh fish,kilograms (kg),,5,180,1000,5000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13798,H002379,grain_1,2,purchased,ANTIQUE,LIBERTAD,rice,kilograms (kg),,12,50,1000,12000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13799,H002379,grain_3,2,purchased,ANTIQUE,LIBERTAD,"crackers, cookies, buiscuits, chips/curls",putos,putos,1,120,90,90,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,105,0,90,90,1,2,blind: province pool,105,1
13800,H002379,veg_4,3,own_production,ANTIQUE,LIBERTAD,camote,kilograms (kg),,5,80,1000,5000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13801,H002380,bev_1,3,own_production,ILOILO,SARA,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,7,25,18927.1,132489.7,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13802,H002380,bev_3,2,purchased,ILOILO,SARA,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,2,90,435.483870967742,870.9677419354839,NSU via market survey,matched price point,1,the cell's own weighings,0,0,6,0,375,750,2,1,blind: cell pooled,6,1
13803,H002380,fish_1,2,purchased,ILOILO,SARA,fresh fish,kilograms (kg),,2,150,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13804,H002380,fruit_1,4,gift,ILOILO,SARA,mango,kilograms (kg),,4,70,1000,4000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13805,H002380,grain_1,2,purchased,ILOILO,SARA,rice,gantang,,7,140,2250,15750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13806,H002380,sweet_1,2,purchased,ILOILO,SARA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",gamay nga cup,small cup,2,25,60,120,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,160,320,1,1,blind: cell pooled,6,1
13807,H002381,fish_1,2,purchased,ILOILO,LEON,fresh fish,kilograms (kg),,1,150,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13808,H002381,fruit_1,3,own_production,ILOILO,LEON,mango,kilograms (kg),,2,150,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13809,H002381,grain_1,2,purchased,ILOILO,LEON,rice,gantang,,4,130,2250,9000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13810,H002381,veg_3,3,own_production,ILOILO,LEON,camote tops,bugkos,bugkos,1,10,75,75,NSU via market survey,matched price point,1,the cell's own weighings,0,0,8,0,150,150,1,1,blind: cell pooled,8,1
13811,H002382,fish_1,2,purchased,ILOILO,IGBARAS,fresh fish,kilograms (kg),,5,200,1000,5000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13812,H002382,grain_1,3,own_production,ILOILO,IGBARAS,rice,kilograms (kg),,15,50,1000,15000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13813,H002382,meat_3,3,own_production,ILOILO,IGBARAS,chicken,bilog,bilog,5,200,696,3480,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,935,4675,1,1,blind: cell pooled,5,1
13814,H002382,veg_3,3,own_production,ILOILO,IGBARAS,camote tops,bugkos,bugkos,5,20,105,525,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,105,525,1,1,blind: cell pooled,3,1
13815,H002383,bev_1,2,purchased,ILOILO,POTOTAN,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,3,25,18927.1,56781.3,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13816,H002383,fish_1,2,purchased,ILOILO,POTOTAN,fresh fish,kilograms (kg),,2,200,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13817,H002383,fruit_1,2,purchased,ILOILO,POTOTAN,mango,kilograms (kg),,2,100,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13818,H002383,grain_1,3,own_production,ILOILO,POTOTAN,rice,gantang,,6,130,2250,13500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13819,H002383,grain_2,2,purchased,ILOILO,POTOTAN,loaf bread,medium,medium packs,1,58,401.5384615384616,401.5384615384616,NSU via market survey,matched price point,1,the cell's own weighings,0,0,8,0,450,450,1,1,blind: cell pooled,8,1
13820,H002383,veg_3,3,own_production,ILOILO,POTOTAN,camote tops,bugkos,bugkos,1,10,80,80,NSU via market survey,matched price point,1,the cell's own weighings,0,0,11,0,160,160,1,1,blind: cell pooled,11,1
13821,H002384,bev_1,2,purchased,CAPIZ,PRESIDENT ROXAS,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,2,35,18927.1,37854.2,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13822,H002384,bev_3,2,purchased,CAPIZ,PRESIDENT ROXAS,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,3,70,328.125,984.375,NSU via market survey,matched price point,1,the cell's own weighings,0,0,6,0,375,1125,2,1,blind: cell pooled,6,1
13823,H002384,fish_1,3,own_production,CAPIZ,PRESIDENT ROXAS,fresh fish,kilograms (kg),,3,120,1000,3000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13824,H002384,grain_1,2,purchased,CAPIZ,PRESIDENT ROXAS,rice,gantang,,3,130,2250,6750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13825,H002384,veg_3,2,purchased,CAPIZ,PRESIDENT ROXAS,camote tops,bugkos,bugkos,1,20,305,305,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,210,210,1,2,blind: cell pooled,51,1
13826,H002385,bev_1,2,purchased,ILOILO,BAROTAC VIEJO,"mineral or spring water, all drinking water sold in containers",gallons,,5,25,3785.41,18927.05,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13827,H002385,bev_3,2,purchased,ILOILO,BAROTAC VIEJO,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,2,70,328.125,656.25,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,375,750,2,1,blind: cell pooled,5,1
13828,H002385,fish_1,2,purchased,ILOILO,BAROTAC VIEJO,fresh fish,grams (g),,500,.2,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13829,H002385,grain_1,2,purchased,ILOILO,BAROTAC VIEJO,rice,gantang,,7,115,2250,15750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13830,H002385,grain_2,2,purchased,ILOILO,BAROTAC VIEJO,loaf bread,small packs,small packs,5,20,88,440,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,385,1925,1,2,blind: cell pooled,123,1
13831,H002386,fish_1,2,purchased,ILOILO,SARA,fresh fish,kilograms (kg),,1,150,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13832,H002386,fruit_1,4,gift,ILOILO,SARA,mango,bilog,pieces or units,4,12.5,49,196,NSU via market survey,matched price point,1,the cell's own weighings,1,0,9,0,245,980,1,1,blind: cell pooled,9,1
13833,H002386,grain_1,2,purchased,ILOILO,SARA,rice,gantang,,7,150,2250,15750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13834,H002386,meat_3,3,own_production,ILOILO,SARA,chicken,bilog,bilog,1,300,1072.5,1072.5,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,130,0,1072.5,1072.5,1,2,blind: province pool,130,1
13835,H002386,veg_3,3,own_production,ILOILO,SARA,camote tops,bugkos,bugkos,1,10,118.75,118.75,NSU via market survey,matched price point,1,the cell's own weighings,0,0,6,0,237.5,237.5,1,1,blind: cell pooled,6,1
13836,H002387,fish_1,2,purchased,AKLAN,IBAJAY,fresh fish,kilograms (kg),,3,200,1000,3000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13837,H002387,grain_1,3,own_production,AKLAN,IBAJAY,rice,grams (g),,5,130,1,5,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13838,H002387,grain_2,2,purchased,AKLAN,IBAJAY,loaf bread,maisot nga putos,small packs,5,20,149,745,NSU via market survey,matched price point,1,the cell's own weighings,0,0,2,1,360,1800,1,2,blind: cell pooled,33,1
13839,H002387,meat_3,2,purchased,AKLAN,IBAJAY,chicken,whole (chicken),whole (chicken),1,250,1445,1445,NSU via market survey,matched price point,1,the cell's own weighings,0,0,7,0,1445,1445,1,1,blind: cell pooled,7,1
13840,H002387,veg_3,3,own_production,AKLAN,IBAJAY,camote tops,bundle,bundle,3,10,790,2370,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,35,0,790,2370,1,2,blind: province pool,35,1
13841,H002388,grain_1,3,own_production,CAPIZ,DUMARAO,rice,gantang,,2,130,2250,4500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13842,H002388,veg_3,3,own_production,CAPIZ,DUMARAO,camote tops,bugkos,bugkos,1,10,87.5,87.5,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,210,210,1,2,blind: cell pooled,51,1
13843,H002389,bev_1,2,purchased,CAPIZ,PANAY,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,2,20,18927.1,37854.2,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13844,H002389,fish_1,2,purchased,CAPIZ,PANAY,fresh fish,kilograms (kg),,2,175,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13845,H002389,grain_1,2,purchased,CAPIZ,PANAY,rice,gantang,,3,120,2250,6750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13846,H002389,grain_3,2,purchased,CAPIZ,PANAY,"crackers, cookies, buiscuits, chips/curls",bilog,pieces or units,2,5,6,12,NSU via market survey,matched price point,1,the cell's own weighings,1,0,3,0,30,60,1,1,blind: cell pooled,5,1
13847,H002389,veg_3,3,own_production,CAPIZ,PANAY,camote tops,bugkos,bugkos,2,10,250.5292069208164,501.0584138416328,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,205,410,1,1,blind: cell pooled,5,1
13848,H002390,fish_1,2,purchased,ANTIQUE,BUGASONG,fresh fish,kilograms (kg),,2,200,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13849,H002390,grain_1,3,own_production,ANTIQUE,BUGASONG,rice,gantang,,4,130,2250,9000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13850,H002390,veg_3,3,own_production,ANTIQUE,BUGASONG,camote tops,bundle,bundle,3,10,610,1830,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,9,0,610,1830,1,2,blind: province pool,9,1
13851,H002391,fish_1,2,purchased,ANTIQUE,SAN REMIGIO,fresh fish,kilograms (kg),,2,130,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13852,H002391,grain_1,3,own_production,ANTIQUE,SAN REMIGIO,rice,gantang,,21,130,2250,47250,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13853,H002391,veg_3,3,own_production,ANTIQUE,SAN REMIGIO,camote tops,bugkos,bugkos,3,10,115,345,NSU via market survey,matched price point,1,the cell's own weighings,0,0,6,0,230,690,1,1,blind: cell pooled,6,1
13854,H002392,fish_1,2,purchased,ANTIQUE,TIBIAO,fresh fish,kilograms (kg),,1,100,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13855,H002392,grain_1,2,purchased,ANTIQUE,TIBIAO,rice,gantang,,7,130,2250,15750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13856,H002393,fish_1,2,purchased,ANTIQUE,TOBIAS FORNIER,fresh fish,kilograms (kg),,1,150,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13857,H002393,grain_1,3,own_production,ANTIQUE,TOBIAS FORNIER,rice,gantang,,7,100,2250,15750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13858,H002393,veg_3,3,own_production,ANTIQUE,TOBIAS FORNIER,camote tops,bugkos,bugkos,2,10,95,190,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,190,380,1,1,blind: cell pooled,5,1
13859,H002394,bev_1,2,purchased,ANTIQUE,SAN REMIGIO,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,3,20,18927.1,56781.3,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13860,H002394,fish_1,2,purchased,ANTIQUE,SAN REMIGIO,fresh fish,kilograms (kg),,2,250,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13861,H002394,grain_1,2,purchased,ANTIQUE,SAN REMIGIO,rice,gantang,,3,130,2250,6750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13862,H002394,veg_3,3,own_production,ANTIQUE,SAN REMIGIO,camote tops,bundle,bundle,1,10,610,610,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,9,0,610,610,1,2,blind: province pool,9,1
13863,H002395,bev_1,3,own_production,NEGROS OCCIDENTAL,TOBOSO,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,4,20,18927.1,75708.39999999999,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13864,H002395,fish_1,2,purchased,NEGROS OCCIDENTAL,TOBOSO,fresh fish,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13865,H002395,grain_1,2,purchased,NEGROS OCCIDENTAL,TOBOSO,rice,kilograms (kg),,25,50,1000,25000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13866,H002395,meat_2,2,purchased,NEGROS OCCIDENTAL,TOBOSO,pork,kilograms (kg),,1,250,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13867,H002395,meat_3,2,purchased,NEGROS OCCIDENTAL,TOBOSO,chicken,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13868,H002395,meat_4,2,purchased,NEGROS OCCIDENTAL,TOBOSO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,1,60,323.0264486743708,323.0264486743708,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,250,250,1,1,blind: cell pooled,4,1
13869,H002395,veg_3,3,own_production,NEGROS OCCIDENTAL,TOBOSO,camote tops,bugkos,bugkos,2,10,317.5,635,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,74,0,317.5,635,1,2,blind: province pool,74,1
13870,H002395,veg_4,3,own_production,NEGROS OCCIDENTAL,TOBOSO,camote,kilograms (kg),,5,25,1000,5000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13871,H002396,bev_1,2,purchased,ILOILO,SAN ENRIQUE,"mineral or spring water, all drinking water sold in containers",gallons,,2,25,3785.41,7570.82,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13872,H002396,fish_1,4,gift,ILOILO,SAN ENRIQUE,fresh fish,kilograms (kg),,1,150,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13873,H002396,grain_1,2,purchased,ILOILO,SAN ENRIQUE,rice,gantang,,2,120,2250,4500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13874,H002396,meat_3,4,gift,ILOILO,SAN ENRIQUE,chicken,kilograms (kg),,1,240,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13875,H002397,bev_3,2,purchased,CAPIZ,TAPAZ,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,1,65,348.2142857142857,348.2142857142857,NSU via market survey,matched price point,1,the cell's own weighings,0,0,7,0,375,375,2,1,blind: cell pooled,13,1
13876,H002397,fish_1,2,purchased,CAPIZ,TAPAZ,fresh fish,grams (g),,500,.2,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13877,H002397,fruit_1,2,purchased,CAPIZ,TAPAZ,mango,bilog,pieces or units,2,30,262.1666762663518,524.3333525327037,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,230,460,1,2,blind: cell pooled,73,1
13878,H002397,grain_1,2,purchased,CAPIZ,TAPAZ,rice,kilograms (kg),,10,37,1000,10000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13879,H002397,grain_3,2,purchased,CAPIZ,TAPAZ,"crackers, cookies, buiscuits, chips/curls",bilog,pieces or units,3,8,31.9799680900028,95.93990427000838,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,28,84,1,1,blind: cell pooled,5,1
13880,H002397,meat_4,2,purchased,CAPIZ,TAPAZ,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,bilog,3,15,72.11498710869799,216.344961326094,NSU via market survey,matched price point,1,the cell's own weighings,0,0,2,1,70,210,1,2,blind: cell pooled,41,1
13881,H002397,sweet_1,4,gift,CAPIZ,TAPAZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",gmay nga cup,small cup,1,10,50,50,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,100,100,1,1,blind: cell pooled,5,1
13882,H002397,veg_3,3,own_production,CAPIZ,TAPAZ,camote tops,bundle,bundle,4,15,170,680,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,7,0,170,680,1,2,blind: province pool,7,1
13883,H002397,veg_4,3,own_production,CAPIZ,TAPAZ,camote,kilograms (kg),,2,20,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13884,H002398,bev_3,2,purchased,ANTIQUE,SAN REMIGIO,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,1,100,447.7611940298507,447.7611940298507,NSU via market survey,matched price point,1,the cell's own weighings,0,0,8,0,375,375,2,1,blind: cell pooled,8,1
13885,H002398,fish_1,2,purchased,ANTIQUE,SAN REMIGIO,fresh fish,kilograms (kg),,1,170,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13886,H002398,grain_1,3,own_production,ANTIQUE,SAN REMIGIO,rice,gantang,,7,130,2250,15750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13887,H002398,veg_3,3,own_production,ANTIQUE,SAN REMIGIO,camote tops,bugkos,bugkos,2,10,115,230,NSU via market survey,matched price point,1,the cell's own weighings,0,0,6,0,230,460,1,1,blind: cell pooled,6,1
13888,H002399,bev_1,2,purchased,CAPIZ,SIGMA,"mineral or spring water, all drinking water sold in containers",gallons,,4,15,3785.41,15141.64,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13889,H002399,grain_1,3,own_production,CAPIZ,SIGMA,rice,gantang,,2,120,2250,4500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13890,H002400,bev_1,2,purchased,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,2,25,18927.1,37854.2,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13891,H002400,fish_1,4,gift,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),fresh fish,kilograms (kg),,3,150,1000,3000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13892,H002400,grain_1,2,purchased,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),rice,gantang,,5,120,2250,11250,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13893,H002400,meat_2,2,purchased,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),pork,kilograms (kg),,1,260,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13894,H002400,meat_3,2,purchased,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),chicken,kilograms (kg),,1,150,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13895,H002400,meat_4,2,purchased,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,1,60,297.6087512736294,297.6087512736294,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,250,250,1,1,blind: cell pooled,4,1
13896,H002400,veg_3,3,own_production,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),camote tops,bugkos,bugkos,5,10,96.66666666666667,483.3333333333334,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,290,1450,1,1,blind: cell pooled,3,1
13897,H002400,veg_4,2,purchased,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),camote,kilograms (kg),,3,50,1000,3000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13898,H002401,fish_1,2,purchased,ILOILO,MAASIN,fresh fish,kilograms (kg),,3,326.6666666666667,1000,3000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13899,H002401,grain_1,3,own_production,ILOILO,MAASIN,rice,gantang,,8,140,2250,18000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13900,H002402,fish_1,2,purchased,ILOILO,ALIMODIAN,fresh fish,kilograms (kg),,2,200,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13901,H002402,grain_1,2,purchased,ILOILO,ALIMODIAN,rice,gantang,,6,100,2250,13500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13902,H002402,grain_3,2,purchased,ILOILO,ALIMODIAN,"crackers, cookies, buiscuits, chips/curls",putos,putos,1,55,55,55,NSU via market survey,matched price point,1,the cell's own weighings,0,0,21,0,60,60,1,1,blind: cell pooled,21,1
13903,H002402,meat_2,2,purchased,ILOILO,ALIMODIAN,pork,grams (g),,500,.36,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13904,H002402,meat_3,3,own_production,ILOILO,ALIMODIAN,chicken,bilog,bilog,1,150,648.75,648.75,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,960,960,1,1,blind: cell pooled,7,1
13905,H002402,meat_4,2,purchased,ILOILO,ALIMODIAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,1,35,188.1720430107527,188.1720430107527,NSU via market survey,matched price point,1,the cell's own weighings,0,0,7,0,250,250,1,1,blind: cell pooled,13,1
13906,H002402,veg_3,3,own_production,ILOILO,ALIMODIAN,camote tops,bugkos,bugkos,3,20,175,525,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,175,525,1,1,blind: cell pooled,3,1
13907,H002403,fish_1,2,purchased,AKLAN,MALAY,fresh fish,kilograms (kg),,2,200,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13908,H002403,grain_1,2,purchased,AKLAN,MALAY,rice,gantang,,4,145,2250,9000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13909,H002403,grain_2,2,purchased,AKLAN,MALAY,loaf bread,mabahoe nga putos,large packs,2,50,367.0886075949367,734.1772151898734,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,580,1160,1,1,blind: cell pooled,4,1
13910,H002403,meat_3,2,purchased,AKLAN,MALAY,chicken,kilograms (kg),,2,180,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13911,H002403,meat_4,2,purchased,AKLAN,MALAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,1,120,486.528813009666,486.528813009666,NSU via market survey,matched price point,1,the cell's own weighings,0,0,7,0,370,370,1,1,blind: cell pooled,14,1
13912,H002403,sweet_1,2,purchased,AKLAN,MALAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",maisot nga tasa,small cup,4,10,20,80,NSU via market survey,matched price point,1,the cell's own weighings,1,0,3,0,100,400,2,1,blind: cell pooled,3,1
13913,H002403,veg_3,3,own_production,AKLAN,MALAY,camote tops,bundle,bundle,7,20,790,5530,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,35,0,790,5530,1,2,blind: province pool,35,1
13914,H002403,veg_4,2,purchased,AKLAN,MALAY,camote,kilograms (kg),,1,50,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13915,H002404,bev_3,2,purchased,ILOILO,LEMERY,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,1,75,351.5625,351.5625,NSU via market survey,matched price point,1,the cell's own weighings,0,0,2,1,375,375,2,2,blind: cell pooled,267,1
13916,H002404,fish_1,2,purchased,ILOILO,LEMERY,fresh fish,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13917,H002404,grain_1,3,own_production,ILOILO,LEMERY,rice,gantang,,7,120,2250,15750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
13918,H002404,grain_2,2,purchased,ILOILO,LEMERY,loaf bread,gagmay nga putos,small packs,4,5,44,176,NSU via market survey,matched price point,1,the cell's own weighings,1,0,1,1,385,1540,1,2,blind: cell pooled,123,1
